zip_idx,portfolio_idx,leed_idx,portfolio_address,leed_address,distance_m,leed_certification_level,leed_certification_date,leed_rating_system,leed_project_url,leed_project_id
1056,4541,5288,"1400 Montego, Walnut Creek, CA, 94598","1400 Montego, Walnut Creek, CA 94598.0",0,Certified,2016-01-28,Commercial Interiors,https://www.usgbc.org/projects/atria-walnut-creek-partial-renovation,1000044400
1057,7262,1750,"6526 Yount Street, Yountville, CA, 94599","6526 Yount Street, Yountville, CA 94599.0",0,Platinum,2010-01-27,New Construction,https://www.usgbc.org/projects/bardessono,10021754
1062,1720,762,"1111 Franklin Street, Oakland, CA, 94607","1111 Franklin Street, Oakland CA, CA 94607.0",0,Platinum,2019-09-05,Existing Buildings,https://www.usgbc.org/projects/uc-office-president-1,1000077602
1062,1702,5933,"1111 Jackson Street, Oakland, CA, 94607","1111 Jackson Street, Oakland, CA 94607.0",0,Silver,2019-02-14,Commercial Interiors,https://www.usgbc.org/projects/1111-jackson-street-ti,1000053035
1062,4452,4997,"1111 Broadway, Oakland, CA, 94607","1111 Broadway, Oakland, CA 94607.0",0,Gold,2009-11-15,Existing Buildings,https://www.usgbc.org/projects/1111-broadway-0,10387510
1062,1929,8650,"1221 Broadway, Oakland, CA, 94607","1221 Broadway, Oakland, CA 94607.0",0,Platinum,2019-07-30,Existing Buildings,https://www.usgbc.org/projects/1221-city-center,1000091618
1062,3034,8371,"1100 Broadway, Oakland, CA, 94607","1100 Broadway, Oakland, CA 94607.0",0,Gold,2022-04-13,Commercial Interiors,https://www.usgbc.org/projects/1100-broadway-ucop,1000120077
1062,9866,8693,"601 12Th Street, Oakland, CA, 94607","601 12th Street, Oakland, CA 94607.0",0,Gold,2020-01-27,Core and Shell,https://www.usgbc.org/projects/601-city-center,1000098459
1063,2253,2037,"6425 Christie Avenue, Emeryville, CA, 94608","6425 Christie Avenue, Emeryville, CA 94608.0",0,Silver,2010-04-30,Existing Buildings,https://www.usgbc.org/projects/bay-center-offices-6425,10518703
1063,2418,8807,"2100 Powell Street, Emeryville, CA, 94608","2100 Powell, Emeryville, CA 94608.0",0,Gold,2018-04-30,Existing Buildings,https://www.usgbc.org/projects/2100-powell-0,1000101938
1063,6541,127,"1400 65Th Street, Emeryville, CA, 94608","1400 65th Street, Emeryville, CA 94608.0",0,Silver,2018-04-09,Existing Buildings,https://www.usgbc.org/projects/emerytech-2018,1000074660
1065,1575,8051,"180 Grand Avenue, Oakland, CA, 94610","180 Grand Avenue, Oakland, CA 94610.0",0,Platinum,2019-05-16,Existing Buildings,https://www.usgbc.org/projects/180-grand-0,1000082515
1067,2267,290,"1999 Harrison Street, Oakland, CA, 94612","1999 Harrison Street, Oakland, CA 94612.0",0,Gold,2016-12-08,Existing Buildings,https://www.usgbc.org/projects/lake-merritt-plaza-2016,1000066306
1067,2076,5085,"1333 Broadway, Oakland, CA, 94612","1333 Broadway, Oakland, CA 94612.0",8,Silver,2011-02-28,Existing Buildings,https://www.usgbc.org/projects/1333-broadway-oakland-ca,1000001811
1067,2069,8681,"111 Grand Avenue, Oakland, CA, 94612","111 GRAND AVENUE, Oakland, CA 94612.0",4,Gold,2018-03-30,Existing Buildings,https://www.usgbc.org/projects/04-district-office,1000100784
1067,6702,1787,"1300 Clay Street, Oakland, CA, 94612","1300 Clay Street, Oakland, CA 94612.0",0,Gold,2011-02-17,Existing Buildings,https://www.usgbc.org/projects/1300-clay-dnu,10526932
1067,6704,1791,"505 14Th Street, Oakland, CA, 94612","505 14th Street, Oakland, CA 94612.0",0,Gold,2010-12-20,Existing Buildings,https://www.usgbc.org/projects/505-14th-street-dnu,10526945
1067,5476,6797,"360 22Nd St, Oakland, CA, 94612","360 22nd Street, Oakland, CA 94612.0",0,Certified,2009-08-20,Existing Buildings,https://www.usgbc.org/projects/plaza-360,10165188
1067,7324,6589,"2201 Broadway, Oakland, CA, 94612","2201 Broadway, Oakland, CA 94612.0",0,Gold,2017-08-20,Existing Buildings,https://www.usgbc.org/projects/2201-broadway-0,1000087799
1067,7253,8757,"1330 Broadway, Oakland, CA, 94612","1330 Broadway, Oakland, CA 94612.0",0,Gold,2016-11-15,Existing Buildings,https://www.usgbc.org/projects/1330-broadway,1000072176
1067,7467,7977,"2455 Broadway, Oakland, CA, 94612","2401 Broadway, Oakland, CA 94612.0",6,Silver,2022-08-31,New Construction,https://www.usgbc.org/projects/2401-broadway,1000104190
1067,9391,8397,"1955 Broadway, Oakland, CA, 94612","1955 Broadway, Oakland, CA 94612.0",0,Certified,2021-02-11,Commercial Interiors,https://www.usgbc.org/projects/square-uptown-station,1000120759
1072,6374,2,"2121 Center St, Berkeley, CA, 94704","2121 Center Street, Berkeley, CA 94704.0",0,Gold,2023-10-27,New Construction,https://www.usgbc.org/projects/2121-center-street,1000069483
1072,2246,8628,"2100 Milvia Street, Berkeley, CA, 94704","2100 Milvia Street, Berkeley, CA 94704.0",0,Certified,2021-02-01,Commercial Interiors,https://www.usgbc.org/projects/msci-berkeley,1000122896
1074,7856,8346,"1100 San Pablo Avenue, Albany, CA, 94706","1100 San Pablo Ave, Albany, CA 94706.0",0,Gold,2019-02-13,Mid-rise,https://www.usgbc.org/projects/belmont-village-albany-0,1000114921
1078,1928,2438,"850 Marina Bay Parkway, Richmond, CA, 94804","850 Marina Bay Parkway, Richmond, CA 94804.0",0,Silver,2011-06-03,Existing Buildings,https://www.usgbc.org/projects/california-department-public-health-building-p,10066095
1079,5947,1647,"2500 Rd. 20, San Pablo, CA, 94806","2500 Road 20, San Pablo, CA 94806.0",0,Silver,2016-10-05,New Construction,https://www.usgbc.org/projects/san-pablo-community-center,1000019485
1079,7008,7589,"2600 Mission Bell Drive, San Pablo, CA, 94806","2600 Mission Bell Drive, San Pablo, CA 94806.0",0,Gold,2023-06-29,New Construction,https://www.usgbc.org/projects/science-center,1000110112
1080,6935,3598,"125 Shoreline Parkway, San Rafael, CA, 94901","125 Shoreline Pkwy, San Rafael, CA 94901.0",0,Gold,2013-10-20,Retail - New Construction,https://www.usgbc.org/projects/t2772-san-rafael,1000035184
1080,8793,6375,"790 Lindaro Street, San Rafael, CA, 94901","790 Lindaro Street, San Rafael, CA 94901.0",0,Gold,2013-04-21,Commercial Interiors,https://www.usgbc.org/projects/biomarin-790,1000024450
1081,3193,2541,"5010 Northgate Mall, San Rafael, CA, 94903","5800 Northgate Mall, San Rafael, CA 94903.0",0,Gold,2012-12-16,Core and Shell,https://www.usgbc.org/projects/northgate-mall-redevelopment,10211905
1081,5141,6835,"4040 Civic Center Drive, San Rafael, CA, 94903","4040 Civic Center Drive, San Rafael, CA 94903.0",0,Certified,2009-07-29,Commercial Interiors,https://www.usgbc.org/projects/autodesk-san-rafael,10169507
1081,8589,4827,"1600 Los Gamos Drive, San Rafael, CA, 94903","1600 Los Gamos Drive, San Rafael, CA 94903.0",0,Gold,2015-03-26,Commercial Interiors,https://www.usgbc.org/projects/marin-eof,1000026691
1082,2441,8674,"100 Drakes Landing Road, Kentfield, CA, 94904","100 Drakes Landing Rd., Greenbrae, CA 94904.0",0,Gold,2022-12-16,Existing Buildings,https://www.usgbc.org/projects/100-drakes-landing,1000125693
1082,2442,8675,"300 Drakes Landing Road, Larkspur, CA, 94904","300 Drakes Landing Rd., Greenbrae, CA 94904.0",0,Gold,2022-12-20,Existing Buildings,https://www.usgbc.org/projects/300-drakes-landing,1000125701
1082,6274,2701,"250 Bon Air Road, Greenbrae, CA, 94904","250 Bon Air Road, Greenbrae, CA 94904.0",0,Silver,2022-02-15,New Construction,https://www.usgbc.org/projects/marin-health-medical-center,1000012502
1082,9162,4444,"835 College Avenue, Kentfield, CA, 94904","College of Marin, Kentfield, CA 94904.0",0,Gold,2014-04-15,New Construction,https://www.usgbc.org/projects/college-marin-new-fine-arts-building,10101776
1086,2422,8679,"700 Larkspur Landing Circle, Larkspur, CA, 94939","700 Larkspur Landing Circle, Larkspur, CA 94939.0",0,Gold,2017-11-20,Existing Buildings,https://www.usgbc.org/projects/700-larkspur-landing,1000097848
1086,2435,8116,"900 Larkspur Landing Circle, Larkspur, CA, 94939","900 Larkspur Landing Circle, Larkspur, CA 94939.0",0,Gold,2017-10-09,Existing Buildings,https://www.usgbc.org/projects/900-larkspur-landing,1000097910
1086,2437,8657,"1100 Larkspur Landing Circle, Larkspur, CA, 94939","1100 Larkspur Landing, Larkspur, CA 94939.0",0,Platinum,2018-04-09,Existing Buildings,https://www.usgbc.org/projects/1100-larkspur-landing,1000097906
1095,2463,617,"656 America Center Court, San Jose, CA, 95002","656 America Center Ct, San Jose CA 95002, USA, San Jose, CA 95002.0",0,Gold,2019-12-04,New Construction,https://www.usgbc.org/projects/residence-inn-fairfield-inn-suites,1000091661
1095,23081,6940,"6001 America Center Dr, Alviso, CA, 95002","6001 America Center Drive, San Jose, CA 95002.0",0,Gold,2015-06-03,Existing Buildings,https://www.usgbc.org/projects/america-center-0,1000048181
1095,23104,5237,"6201 America Center Dr, Alviso, CA, 95002","6201 America Center Drive, San Jose, CA 95002.0",0,Gold,2014-02-11,Commercial Interiors,https://www.usgbc.org/projects/flextronics-leed-ci-hq,1000020230
1097,4685,3169,"4805 W.Mont Ave., Campbell, CA, 95008","nan, nan, CA 95008.0",0,Gold,2012-07-30,Commercial Interiors,https://www.usgbc.org/projects/sbc-corporate-office,1000008443
1098,8383,2168,"1855 41St Avenue, Capitola, CA, 95010","1855 41st Ave, Capitola, CA 95010.0",0,Silver,2012-04-18,Existing Buildings,https://www.usgbc.org/projects/kohls-capitola,1000017336
1099,3987,2880,"10431 North De Anza Boulevard, Cupertino, CA, 95014","10431 N. De Anza Blvd, Cupertino, CA 95014.0",0,Certified,2011-09-28,Commercial Interiors,https://www.usgbc.org/projects/apple-de-anza-07-3rd-floor,1000012041
1099,4639,4287,"21250 Stevens Creek Boulevard, Cupertino, CA, 95014","21250 Stevens Creek Blvd., Cupertino, CA 95014.0",0,Certified,2013-10-24,New Construction,https://www.usgbc.org/projects/de-anza-college-baldwin-wineryecottage,10300912
1099,5303,4369,"20300 Stevens Creek Boulevard, Cupertino, CA, 95014","20300 Stevens Creek Blvd, Cupertino, CA 95014.0",0,Certified,2012-06-24,Commercial Interiors,https://www.usgbc.org/projects/apple-city-center-1,1000012978
1099,5928,5112,"10380 Perimeter Road, Cupertino, CA, 95014","10380 Perimeter Road, Cupertino, CA 95014.0",0,Gold,2020-02-21,New Construction,https://www.usgbc.org/projects/hyatt-house-cupertino,1000058710
1105,9538,2677,"469 El Camino Real, Santa Clara, CA, 95050","469 El Camino Real, Suite 100, Santa Clara, CA 95050.0",0,Gold,2010-02-22,Commercial Interiors,https://www.usgbc.org/projects/blach-construction-office-ti,10336713
1106,3981,6431,"2888 San Tomas Expy, Santa Clara, CA, 95051","2888 San Tomas Expressway, Santa Clara, CA 95051.0",0,Gold,2022-09-12,New Construction,https://www.usgbc.org/projects/voyager,1000113253
1106,9603,6475,"2500 Walsh Avenue, Santa Clara, CA, 95051","2500 Walsh Avenue, Santa Clara, CA 95051.0",0,Silver,2015-01-19,Commercial Interiors,https://www.usgbc.org/projects/arris-leed-ci,1000043574
1107,2262,4710,"3979 Freedom Circle, Santa Clara, CA, 95054","3979 Freedom Circle, San Francisco, CA 95054.0",0,Platinum,2012-04-24,Existing Buildings,https://www.usgbc.org/projects/mission-towers-ii,10523362
1107,1601,7383,"3975 Freedom Circle, Santa Clara, CA, 95054","3975 Freedom Circle, Santa Clara, CA 95054.0",0,Silver,2017-01-24,Existing Buildings,https://www.usgbc.org/projects/mission-tower-i,1000063198
1107,3696,2023,"3945 Freedom Circle, Santa Clara, CA, 95054","3945 Freedom Circle, Santa Clara, CA 95054.0",0,Gold,2011-12-01,Existing Buildings,https://www.usgbc.org/projects/3945-freedom-circle,1000014088
1107,2433,8727,"5201 Great America Parkway, Santa Clara, CA, 95054","5201 Great America Parkway, Santa Clara, CA 95054, Santa Clara, CA 95054.0",0,Gold,2019-12-03,Existing Buildings,https://www.usgbc.org/projects/techmart,1000117310
1107,6792,1095,"5451 Great America Parkway, Santa Clara, CA, 95054","5451-5455 Great American Parkway, Santa Clara, CA 95054.0",0,Gold,2014-09-01,Core and Shell,https://www.usgbc.org/projects/santa-clara-gateway-phase-1,10203705
1107,7035,2076,"3315 Scott Boulevard, Santa Clara, CA, 95054","3315 Scott Blvd, Santa Clara, CA 95054.0",0,Silver,2014-04-03,Core and Shell,https://www.usgbc.org/projects/3315-scott-blvd,1000023937
1107,7033,4543,"3355 Scott Boulevard, Santa Clara, CA, 95054","3355 Scott Blvd, Santa Clara, CA 95054.0",0,Silver,2014-04-03,Core and Shell,https://www.usgbc.org/projects/3355-scott-blvd,1000023933
1107,7034,6963,"3325 Scott Boulevard, Santa Clara, CA, 95054","3325 Scott Blvd, Santa Clara, CA 95054.0",0,Silver,2014-04-03,Core and Shell,https://www.usgbc.org/projects/3325-scott-blvd,1000023935
1107,6540,7468,"3965 Freedom Circle, Santa Clara, CA, 95054","3965 Freedom Circle, Santa Clara, CA 95054.0",0,Gold,2017-07-25,Existing Buildings,https://www.usgbc.org/projects/santa-clara-tower-2,1000075147
