id_building,energy_site_eui_post_odcv
BOS_101293,124.3
BOS_101296,10.1
BOS_101299,23.9
BOS_101321,53.9
BOS_101322,59.9
BOS_101327,70.3
BOS_101331,51.6
BOS_101332,39.6
BOS_101334,45.1
BOS_101336,79.0
BOS_101337,57.3
BOS_101338,68.5
BOS_101342,39.1
BOS_101344,123.4
BOS_101346,46.4
BOS_101347,251.4
BOS_101353,38.6
BOS_101411,47.7
BOS_101412,49.2
BOS_101420,107.3
BOS_101424,86.0
BOS_101425,45.4
BOS_101426,101.5
BOS_101461,23.9
BOS_101469,5.4
BOS_101470,64.3
BOS_101524,51.0
BOS_101526,26.0
BOS_101599,32.7
BOS_101647,50.1
BOS_101651,35.4
BOS_101654,62.5
BOS_101690,36.2
BOS_101698,61.2
BOS_101716,67.1
BOS_101730,25.8
BOS_101753,262.8
BOS_101755,316.8
BOS_101757,144.2
BOS_101758,68.4
BOS_101764,40.9
BOS_101767,14.2
BOS_101774,59.1
BOS_101778,67.2
BOS_101781,30.5
BOS_101783,32.6
BOS_101784,62.9
BOS_101785,35.9
BOS_101829,99.1
BOS_101885,84.3
BOS_101889,33.2
BOS_101890,47.7
BOS_101891,66.3
BOS_101905,91.9
BOS_101937,28.2
BOS_101946,66.6
BOS_101957,45.4
BOS_101983,83.2
BOS_102006,110.5
BOS_102016,50.6
BOS_102062,83.2
BOS_102096,45.0
BOS_102107,79.4
BOS_102112,47.6
BOS_102149,30.6
BOS_102157,103.5
BOS_102168,59.0
BOS_102171,31.7
BOS_102307,48.2
BOS_102310,39.5
BOS_102311,25.6
BOS_102356,40.8
BOS_102361,53.9
BOS_102386,66.5
BOS_102387,52.9
BOS_102393,52.9
BOS_102395,88.4
BOS_102398,84.6
BOS_102407,121.6
BOS_102413,69.5
BOS_102414,84.6
BOS_102415,47.9
BOS_102417,61.4
BOS_102423,118.2
BOS_102470,41.1
BOS_102478,75.8
BOS_102489,46.6
BOS_102498,44.2
BOS_102499,56.2
BOS_102501,77.1
BOS_102515,27.2
