portfolio_idx,id_building,loc_address,leed_project_url,extracted_name
5105,CA_28374211,"4000 Suisun Valley Road, Fairfield, CA, 94534",https://www.usgbc.org/projects/scc-building-600-modernization,Scc Building 600 Modernization
5141,CA_2883195,"4040 Civic Center Drive, San Rafael, CA, 94903",https://www.usgbc.org/projects/autodesk-san-rafael,Autodesk San Rafael
5144,CA_2890677,"675 Anton Boulevard, Costa Mesa, CA, 92626",https://www.usgbc.org/projects/675-anton-blvd,675 Anton Blvd
5145,CA_2890699,"3200 Bristol Street, Costa Mesa, CA, 92626",https://www.usgbc.org/projects/3200-bristol,3200 Bristol
5148,CA_2893183,"808 Danenberg Drive, El Centro, CA, 92243",https://www.usgbc.org/projects/kohls-el-centro,Kohls El Centro
5162,CA_2910581,"201 3Rd Street, San Francisco, CA, 94103",https://www.usgbc.org/projects/capital-one-sf-201-3rd-st-4th-floor,Capital One Sf 201 3Rd St 4Th Floor
5174,CA_29251200,"251 S. Lake Ave., Pasadena, CA, 91101",https://www.usgbc.org/projects/corporate-center-pasadena-recert-0,Corporate Center Pasadena Recert
5195,CA_2983735,"1455 Frazee Road, San Diego, CA, 92108",https://www.usgbc.org/projects/pacific-center-block,Pacific Center Block
5201,CA_29854772,"242 Humboldt Ct., Sunnyvale, CA, 94089",https://www.usgbc.org/projects/humboldt-building-1,Humboldt Building
5202,CA_29854777,"244 Humboldt Ct., Sunnyvale, CA, 94089",https://www.usgbc.org/projects/humboldt-building-2,Humboldt Building
5203,CA_29854778,"227 Humboldt Ct., Sunnyvale, CA, 94089",https://www.usgbc.org/projects/humboldt-building-3,Humboldt Building
5204,CA_29854780,"225 Humboldt Ct., Sunnyvale, CA, 94089",https://www.usgbc.org/projects/humboldt-building-4,Humboldt Building
5215,CA_3026461,"10860 Gold Center Drive, Rancho Cordova, CA, 95670",https://www.usgbc.org/projects/prospect-green-1-recertification,Prospect Green 1
5217,CA_3026468,"10911 White Rock Road, Rancho Cordova, CA, 95670",https://www.usgbc.org/projects/prospect-green-3-recertification,Prospect Green 3
5218,CA_3026469,"10877 White Rock Road, Rancho Cordova, CA, 95670",https://www.usgbc.org/projects/prospect-green-4,Prospect Green
5223,CA_3052625,"500 Capitol Mall, Sacramento, CA, 95814",https://www.usgbc.org/projects/500-capitol-mall-tower-kpmg-sacramento,500 Capitol Mall Tower Kpmg Sacramento
5303,CA_3158492,"20300 Stevens Creek Boulevard, Cupertino, CA, 95014",https://www.usgbc.org/projects/apple-city-center-1,Apple City Center
5316,CA_3177451,"75 North Fair Oaks Avenue, Pasadena, CA, 91103",https://www.usgbc.org/projects/75-north-fair-oaks,75 North Fair Oaks
