building_type,vertical
Higher Ed,Education
Hotel,Commercial
Inpatient Hospital,Healthcare
K-12 School,Education
Library/Museum,Education
Medical Office,Healthcare
Mixed Use,Commercial
Office,Commercial
Outpatient Clinic,Healthcare
Residential Care,Healthcare
Restaurant/Bar,Commercial
Retail,Commercial
Specialty Hospital,Healthcare
Supermarket,Commercial
Theater,Commercial
Venue,Commercial
Wholesale Club,Commercial
