market,utilization_rate,utilization_rate_class_a_plus,peak_day_rate,source,report_date,notes
U.S. 10-City Average,0.563,0.788,,Kastle,Dec 2025,Highest weekly average since pandemic
Austin,0.777,,0.929,Kastle,Dec 2025,Record high weekly; Wednesday peak 92.9%
New York,0.595,,,Kastle,Dec 2025,Record high weekly average
Washington DC,,,0.643,Kastle,Dec 2025,Post-pandemic single-day high (Tuesday)
