"Benchmarking ID","Building Address","Building City","Building State","Building Zip","Building Name","Primary Type","Gross Floor Area","Submission Status #7","X Coordinate","Y Coordinate","Owner Company","Compliance Required","Submission Year","Energy Star Score","Weather Normalized Site EUI (kBtu/ft^2)","Direct GHG Emissions (Metric Tons CO2e)","Indirect GHG Emissions (Metric Tons CO2e)","Weather Normalized Source EUI (kBtu/ft^2)","Indoor Water Use (All Water Sources) (kgal)","Outdoor Water Use (All Water Sources) (kgal)","Water Use (All Water Sources) (kgal)"
"06-CM-01105","1100 Grand Blvd","Kansas City","Missouri","64,106",,,,"noSubmittal","39.1008094","-94.5811036","na","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"09-CM-02830","2830 Holmes St","Kansas City","Missouri","64,109","4880.Longfellow Elementary","K-12 School","65,459","submitted","39.0751055","-94.5770323","The School District of KCMO","By Ordinance","2,023","65","56","103.3","219.8","103.80","Not Available","Not Available","248"
"09-CM-03110","3136 Flora Ave","Kansas City","Missouri","64,109","Mid-City Towers II","Multifamily Housing","54,292","submitted","39.0689193","-94.5659486","Mid City Towers II Inc","By Ordinance","2,023","45","73","123.4","226","132.10","2129.7","Not Available","2,129.7"
"09-IS-01310","1320 E 32nd Ter","Kansas City","Missouri","64,109","4420.Faxon Elementary","K-12 School","53,520","submitted","39.0682984","-94.5683264","The School District of KCMO","By Ordinance","2,023","100","Not Available","53.4","31.4","Not Available","Not Available","Not Available","135.8"
"06-CM-01158","10 Petticoat Ln","Kansas City","Missouri","64,106",,,"136,210","noSubmittal","39.1012347","-94.5823387","8400 Petticoat LLC","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"09-IS-01810","1801 E Linwood Ave","Kansas City","Missouri","64,109","Linwood Place","Office","69,290","submitted","39.0680396","-94.5614352","Linwood Place Development LLC","By Ordinance","2,023","20","80.9","17.2","341.9","211.60","308.3","Not Available","308.3"
"09-IS-02910","2901 Troost Ave","Kansas City","Missouri","64,109","9010.Board of Education","Office","107,915","submitted","39.0734024","-94.5707446","The School District of KCMO","By Ordinance","2,023","98","Not Available","27.5","388.2","Not Available","Not Available","Not Available","5.9"
"09-IS-03410","3400 Highland","Kansas City","Missouri","64,109","4450.Franklin Operations Center","Office","79,640","submitted","39.0645788","-94.5637971","The School District of KCMO","By Ordinance","2,023","30","185","708.8","213.6","228.30","Not Available","Not Available","2.5"
"06-CM-01190","1130 Walnut St","Kansas City","Missouri","64,106","AMU",,"66,220","noSubmittal","39.1000724","-94.582205","Andrews Mcmeel Boley LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-CM-01210","1200 Grand Blvd","Kansas City","Missouri","64,106","Bonfils","Office","21,453","noSubmittal","39.0996596","-94.5811908","The Bonfils","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-CM-01305","1301 Oak St","Kansas City","Missouri","64,106","Kessler Building","Office","44,928","noSubmittal","39.0983283","-94.5781206","1301 OAK LEVEL OFFICE LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"09-MF-03411","520 E Armour","Kansas City","Missouri","64,109","520 East Apartments","Multifamily","135,000","submitted","39.06384639","-94.57896513","Mac Property Management","By Ordinance","2,023","100","18.1","0","244","50.70","Not Available","Not Available","2,714.9"
"09-MF-03510","1326 E Armour Blvd","Kansas City","Missouri","64,109","Alexandria Apartments","Multifamily Housing","110,000","submitted","39.0633952","-94.5681287","Alexandria Apartments Ltd C/O Jon Schulte","By Ordinance","2,023","93","19.4","0","279.9","54.40","Not Available","18862.6","18,862.6"
"09-MF-03520","640 E Armour Blvd","Kansas City","Missouri","64,109","Six 40","Multifamily Housing","59,600","submitted","39.0638111","-94.5766091","Mac Property Management","By Ordinance","2,023","66","79.9","203.6","146","116.60","Not Available","Not Available","3,429.1"
"09-MF-03530","701 E Armour Blvd","Kansas City","Missouri","64,109","Hamilton","Multifamily Housing","57,276","submitted","39.0631701","-94.5758634","Mac Property Management","By Ordinance","2,023","31","102.2","258.6","144.9","141.00","Not Available","Not Available","1,925.5"
"06-IN-00710","705-711 Virginia Ave","Kansas City","Missouri","64,106","Hope Faith Ministries",,"47,000","noSubmittal","39.1047798","-94.5657471","Mmdt Holdings LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-IN-01120","1111 Virginia Ave","Kansas City","Missouri","64,106",,,"42,678","noSubmittal","39.1000647","-94.5659083","HRE Virginia Group LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"09-MF-03540","525 E Armour Blvd","Kansas City","Missouri","64,109","Newbern","Multifamily Housing","112,369","submitted","39.0632125","-94.5789268","Mac Property Management","By Ordinance","2,023","37","50","37.2","649.4","129.10","Not Available","Not Available","2,137.2"
"09-MF-03550","601 E Armour Blvd","Kansas City","Missouri","64,109","Windemere","Multifamily Housing","51,326","submitted","39.0631597","-94.5782013","Commonwealth Holdings I LLC","By Ordinance","2,023","100","24.6","28.5","97.6","50.60","Not Available","Not Available","1,012.9"
"09-MF-04010","400 E Armour Blvd","Kansas City","Missouri","64,109","ABA Georgian Court: Georgian Court","Multifamily Housing","75,214","submitted","39.0638741","-94.5807005","Ab Apartments Lp","By Ordinance","2,023","100","21.1","0","180.2","59.20","Not Available","Not Available","4,914.6"
"09-MF-80110","801 E Armour Blvd","Kansas City","Missouri","64,109","Brownhardt","Multifamily Housing","64,976","submitted","39.0631267","-94.574896","801 East Armour LLC Attn: Eli Ungar","By Ordinance","2,023","74","57","96.3","253.5","112.90","Not Available","Not Available","2,535.9"
"10-CM-04210","4235 Locust St","Kansas City","Missouri","64,110","ROCKHILL MANOR ASSISTED LIVING","Residential Care Facility","64,000","submitted","39.0495035","-94.5804586","Rockhill Manor Redevelopment Corp","By Ordinance","2,023","Not Available","77.4","164.4","251.7","134.20","4669.1","Not Available","4,669.1"
"10-CM-04810","4801 Rockhill Rd","Kansas City","Missouri","64,110","Kauffman Foundation","Mixed Use Property","130,000","submitted","39.0393974","-94.5770726","Ewing Marion Kauffman","By Ordinance","2,023","Not Available","90.7","0","1,532.9","253.90","2096.8","9392.4","11,489.2"
"06-IS-00950","920 Grand Blvd","Kansas City","Missouri","64,106",,,"307,754","noSubmittal","39.1026099","-94.5804091","Delta Quad Holdings LLC","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"10-IS-05010","1000 E 50th St","Kansas City","Missouri","64,110","The Stowers Institute for Medical Research","Laboratory","748,038","submitted","39.0373338","-94.5747751","Stowers Institute","By Ordinance","2,023","Not Available","69.1","0","6,680.9","193.60","Not Available","Not Available","39,718.3"
"06-IS-01217","415 E 12th St","Kansas City","Missouri","64,106",,,"393,455","noSubmittal","39.0992246","-94.57804","Jackson County MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"10-IS-05015","1000 E 50th St","Kansas City","Missouri","64,110","Stowers Institute Administrative Offices","Office","72,060","submitted","39.0373338","-94.5747751","Stowers Institute","By Ordinance","2,023","3","200.9","420.2","780.9","364.00","367.8","Not Available","367.8"
"06-IS-01270","1211 Mcgee St","Kansas City","Missouri","64,106","Board of Education","Office","261,050","noSubmittal","39.0993427","-94.5791687","The School District of KCMO","Closed","2,023","0","0","0","0","0.00","0","0","0"
"06-IS-01310","615 E 13th St","Kansas City","Missouri","64,106",,,"264,298","noSubmittal","39.0978937","-94.5757424","State Of MO Board","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-IS-01320","1315 Locust St","Kansas City","Missouri","64,106",,,"304,220","noSubmittal","39.0977607","-94.5770942","Jackson County MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"10-IS-05315","5151 Troost Ave","Kansas City","Missouri","64,110","North Parking Garage","Parking","160,000","submitted","39.0333427","-94.5731105","Rockhurst University","By Ordinance","2,023","Not Available","28.7","8.8","66.5","68.60","34.7","Not Available","34.7"
"06-IS-01410","505 E 14th St","Kansas City","Missouri","64,106",,,"146,552","noSubmittal","39.0967128","-94.5768711","Jackson County MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"06-IS-01415","505 E 14th St","Kansas City","Missouri","64,106",,,"75,411","noSubmittal","39.0967128","-94.5768711","505 Properties LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"10-IS-52010","1107 Rockhurst Rd","Kansas City","Missouri","64,110","Conway Hall","College/University","51,290","submitted","39.0323505","-94.5723164","Rockhurst University","By Ordinance","2,023","Not Available","90.3","107.5","341.8","185.30","417.8","Not Available","417.8"
"10-IS-52020","5228 Tracy Ave","Kansas City","Missouri","64,110","Massman Hall","Office","77,073","submitted","39.031493","-94.5715144","Rockhurst University","By Ordinance","2,023","20","117.6","203.4","694.3","245.90","1253.2","Not Available","1,253.2"
"06-IS-01730","1740 Independence Blvd","Kansas City","Missouri","64,106","Dybedal Center for Research",,"48,135","noSubmittal","39.1054672","-94.5593394","Kansas City University-Health Sciences","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"10-IS-53010","5351 Forest Ave","Kansas City","Missouri","64,110","Arrupe Hall","College/University","68,000","submitted","39.0301409","-94.5717433","Rockhurst University","By Ordinance","2,023","Not Available","31","35.7","188.7","70.50","506.1","Not Available","506.1"
"10-IS-53020","5301 Troost Ave","Kansas City","Missouri","64,110","Science Building","College/University","76,290","submitted","39.0304464","-94.5732031","Rockhurst University","By Ordinance","2,023","Not Available","81.7","123.9","532.8","178.60","6110.6","Not Available","6,110.6"
"10-IS-53030","1334 E 53rd St","Kansas City","Missouri","64,110","Xavier Loyola","Residence Hall/Dormitory","53,252","submitted","39.0308881","-94.5715215","Rockhurst University","By Ordinance","2,023","63","81.8","111.3","294.9","160.50","729.2","Not Available","729.2"
"11-CM-00110","111 E Linwood Ave","Kansas City","Missouri","64,111","3021 - MIDTOWN KANSAS CITY","Retail Store","131,260","submitted","39.0666457","-94.5835627","The Home Depot","By Ordinance","2,023","92","65","257.5","514.4","120.20","Not Available","Not Available","1,415.4"
"11-CM-00210","241 E Linwood Blvd","Kansas City","Missouri","64,111","Costco #0375 Kansas City","Wholesale Club/Supercenter","148,663","submitted","39.0675655","-94.5808214","Costco Wholesale Corporation","By Ordinance","2,023","72","150.5","432.1","1,857.3","328.20","2529.4","Not Available","2,529.4"
"11-CM-00310","300 Wyandotte St","Kansas City","Missouri","64,111","HOK",,"97,800","submitted","39.1090172","-94.5860622","Somera Road--300 Wyandotte Street LLC","By Ordinance","2,023","61","50.5","0","653.5","141.50","Not Available","Not Available","199.8"
"11-CM-00560","560 Westport Rd","Kansas City","Missouri","64,111","271-ACKCWestport","Hotel","58,710","submitted","39.052322","-94.593521","NF II KANSAS CITY LLC","By Ordinance","2,023","67","90.8","154.1","318.2","169.00","2437.7","Not Available","2,437.7"
"11-CM-03115","3130 Broadway St","Kansas City","Missouri","64,111","FTJ & Company","Other","60,600","submitted","39.0700168","-94.590471","Jones Forrest T & Co","By Ordinance","2,023","Not Available","164.3","197.7","847.6","355.20","Not Available","Not Available","384.4"
"11-CM-03120","3101 Broadway Blvd","Kansas City","Missouri","64,111","Children's Mercy-Broadway","Medical Office","151,523","submitted","39.070778","-94.5893589","Children's Mercy Hospital","By Ordinance","2,023","97","49.3","0","956.3","138.00","Not Available","Not Available","3,343.7"
"06-MF-01020","1108 E 10th St","Kansas City","Missouri","64,106",,"Multifamily Housing","40,219","noSubmittal","39.1021603","-94.5694145","City Union Mission Inc","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"11-CM-03410","3433 Roanoke Rd","Kansas City","Missouri","64,111","US Engineering MW - Roanoke Road","Office","75,765","submitted","39.06552","-94.601868","U.S. Engineering Company","By Ordinance","2,023","79","60.7","130.8","275.2","113.50","Not Available","Not Available","129"
"11-CM-03440","3440 Main St","Kansas City","Missouri","64,111","28022-Kansas City / 34th Main St","Self-Storage Facility","100,850","submitted","39.0639661","-94.5860282","Storage Trust Properties LP","By Ordinance","2,023","Not Available","10.4","35.4","52.4","18.00","37","Not Available","37"
"11-CM-03505","3520 Broadway St","Kansas City","Missouri","64,111","The Home Office","Office","233,700","submitted","39.0636906","-94.5915856","Kansas City Life Insurance Co","By Ordinance","2,023","Not Available","65970.4","834,868.5","1,315.4","69345.20","Not Available","Not Available","8,003.7"
"11-CM-03710","3700 Broadway St","Kansas City","Missouri","64,111","Uptown Theater","Other - Entertainment/Public Assembly","85,000","submitted","39.0610339","-94.5909395","UGA LLC","By Ordinance","2,023","Not Available","46","77.3","326.8","101.00","Not Available","Not Available","1,290.3"
"08-CM-03005","3009 Main St","Kansas City","Missouri","64,108","Kansas City Union Hill MO FFI","Hotel","44,067","submitted","39.0723306","-94.5852055","Union Hill Hospitality LLC","Voluntarily","2,023","38","78.2","61.5","299.2","173.10","Not Available","Not Available","2,748.3"
"11-CM-04010","4001 Mill St","Kansas City","Missouri","64,111","Mill Street Station","Supermarket/Grocery Store","93,399","submitted","39.0545884","-94.5947709","Mill Street Station","By Ordinance","2,023","Not Available","186.3","154.1","1,876.4","467.80","Not Available","Not Available","3,218.1"
"11-CM-04120","4141 Pennsylvania Ave","Kansas City","Missouri","64,111","41 Penn","Multifamily Housing","57,000","submitted","39.0518798","-94.5903417","41 Penn LLC","By Ordinance","2,023","100","4.4","0","32.1","12.40","1556.7","Not Available","1,556.7"
"11-CM-04210","4251 Bridger Rd","Kansas City","Missouri","64,111","Allen Village High School","K-12 School","121,888","submitted","39.0512503","-94.5927195","Allen Village School","By Ordinance","2,023","100","25.6","102.7","159.2","44.50","8162.6","Not Available","8,162.6"
"11-CM-04310","220 W 43rd St","Kansas City","Missouri","64,111","Embassy Suites by Hilton Kansas City Plaza (MKCWE)","Hotel","297,765","submitted","39.0497992","-94.5894891","Hilton","By Ordinance","2,023","85","67.6","453.4","1,363","137.70","Not Available","Not Available","22,235.2"
"11-CM-04460","4445 Madison Ave","Kansas City","Missouri","64,111","45 Madison-PRG (md150)","Multifamily Housing","124,588","submitted","39.0471934","-94.5968677","PRG 45 Madison LLC","By Ordinance","2,023","85","43.4","62.5","561.7","105.70","Not Available","Not Available","2,478"
"11-CM-04470","4400 Main St","Kansas City","Missouri","64,111","4400","Office","124,222","submitted","39.0473753","-94.5870701","American Century Realty, Inc.","By Ordinance","2,023","64","80.4","0","1,312.5","225.20","Not Available","Not Available","465.3"
"11-CM-04480","4435 Main St","Kansas City","Missouri","64,111","One Main Plaza","Office","185,125","submitted","39.0466039","-94.5860218","American Century Realty, Inc.","By Ordinance","2,023","Not Available","69.5","0","1,652.1","194.50","Not Available","Not Available","2,516.5"
"11-CM-04525","4520 Main St","Kansas City","Missouri","64,111","Tower 2","Office","236,588","submitted","39.0449671","-94.5873523","American Century Realty, Inc.","By Ordinance","2,023","Not Available","70.3","0","2,172.7","196.70","Not Available","Not Available","6,238.6"
"11-CM-04530","4510 Belleview Ave","Kansas City","Missouri","64,111","4510 Belleview","Office","61,905","submitted","39.0455375","-94.5986823","Zimmer Realty Company","By Ordinance","2,023","28","77.6","0","380","217.30","Not Available","Not Available","190.7"
"11-CM-04560","4500 Main St","Kansas City","Missouri","64,111","Tower 1","Financial Office","238,872","submitted","39.0459224","-94.5873936","American Century Realty, Inc.","By Ordinance","2,023","Not Available","65.5","0","2,049.7","183.30","Not Available","Not Available","2,319.8"
"11-IS-00210","201 Westport Rd","Kansas City","Missouri","64,111","Westport Presbyterian Church","Worship Facility","96,887","submitted","39.0538216","-94.5884408","Westport Presbyterian Church","By Ordinance","2,023","96","7.3","2.2","87.9","19.80","Not Available","Not Available","158.8"
"11-IS-03020","301 E Armour Blvd","Kansas City","Missouri","64,111","International","Multifamily Housing","112,290","submitted","39.0629067","-94.581547","Mac Property Management","By Ordinance","2,023","29","43.5","0","624.5","121.90","Not Available","Not Available","1,900.8"
"08-CM-01840","1601 E 18th St","Kansas City","Missouri","64,108",,,"60,002","noSubmittal","39.090677","-94.563028","The Service Law Office of Kansas City","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"08-CM-01940","1923 Broadway St","Kansas City","Missouri","64,108","Faultless Laundry Company","Manufacturing/Industrial Plant","50,001","noSubmittal","39.0897553","-94.5886424",,"Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"11-IS-03415","3450 Warwick Blvd","Kansas City","Missouri","64,111","4350.Foreign Language Academy","K-12 School","130,897","submitted","39.0641053","-94.5841271","The School District of KCMO","By Ordinance","2,023","83","Not Available","22.7","489.6","Not Available","Not Available","Not Available","552.8"
"11-IS-03510","3521 Southwest Trfy","Kansas City","Missouri","64,111","Norman School Lofts","Multifamily Housing","78,239","submitted","39.0640353","-94.5943867","4301 Main LLC","By Ordinance","2,023","Not Available","2.3","0","23.5","6.40","Not Available","Not Available","1,799.4"
"11-IS-03530","211 W Armour Blvd","Kansas City","Missouri","64,111","Arc on Armour","Multifamily Housing","54,144","submitted","39.0636095","-94.5884811","211 W Armour LLC, Mac Properties","By Ordinance","2,023","86","37","19.3","217.1","92.10","1147.8","Not Available","1,147.8"
"14-MF-10615","10545 Washington St","Kansas City","Missouri","64,114","Cloverset Building 1 10545W 01650","Multifamily Housing","32,040","submitted","38.9354819","-94.5983279","Cloverset SP LP","Voluntarily","2,023","99","24.3","0","104.5","68.00","Not Available","Not Available","742.4"
"14-MF-10620","10600 Washington St","Kansas City","Missouri","64,114","Cloverset Building 4 10600W 01650","Multifamily Housing","25,620","submitted","38.9353669","-94.5982068","Cloverset SP Lp","Voluntarily","2,023","100","23.5","0","81.1","65.70","Not Available","Not Available","511.1"
"14-MF-10625","10620 Jefferson St","Kansas City","Missouri","64,114","Cloverset Building 5 10620J 01650","Multifamily Housing","33,540","submitted","38.9353441","-94.5996098","Cloverset SP Lp","Voluntarily","2,023","100","22.7","0","102.7","63.60","Not Available","Not Available","870.4"
"14-MF-10630","10645 Jefferson St","Kansas City","Missouri","64,114","Cloverset Building 7 10645J 01650","Multifamily Housing","30,450","submitted","38.9349443","-94.5993537","Cloverset SP Lp","Voluntarily","2,023","100","21.3","0","88.6","59.70","Not Available","Not Available","721.5"
"11-IS-04210","706 W 42nd St","Kansas City","Missouri","64,111","Allen Village School","K-12 School","92,402","submitted","39.0529213","-94.5948113","Allen Village School","By Ordinance","2,023","100","10.4","0","123.4","29.00","Not Available","Not Available","57,996.4"
"55-MF-08510","8501 N Platte Purchase Dr","Kansas City","Missouri","64,155","Carrington Park Apartments (cn79)","Multifamily Housing","337,400","noSubmittal","39.2486744","-94.6003558","Ceai Andover Park LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"11-IS-04315","4321 Washington St","Kansas City","Missouri","64,111","Medical Plaza","Hospital","350,958","submitted","39.0492082","-94.5900535","Medical Plaza Partners LP","By Ordinance","2,023","100","67.1","47.8","2,895.2","183.50","Not Available","Not Available","5,204.3"
"12-CM-04660","4600 Madison Ave","Kansas City","Missouri","64,112","Plaza West","Office","746,287","submitted","39.0445615","-94.5976742",,"By Ordinance","2,023","90","50.5","58.4","1,575.6","134.50","Not Available","Not Available","2,840.2"
"11-IS-04419","4419 Warwick Blvd","Kansas City","Missouri","64,111","Barbara Marshall Residence Hall","College/University","97,220","submitted","39.0461044","-94.5838298","Kansas City Art Institute","By Ordinance","2,023","Not Available","51.1","0","634.7","143.10","2607.8","Not Available","2,607.8"
"08-IS-02465","660 E 24th St","Kansas City","Missouri","64,108","D&TC",,"69,106","noSubmittal","39.084455","-94.576579","Children's Mercy Hospital","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"11-IS-04431","4401 Wornall Rd","Kansas City","Missouri","64,111","Main Hosp - 4401 Wornall","Healthcare","1,382,863","submitted","39.0477249","-94.5908524","St. Luke's Hospital","By Ordinance","2,023","18","311.2","14,954","19,366.5","517.30","Not Available","Not Available","98,685,620.4"
"08-IS-02490","1619 E 24th St","Kansas City","Missouri","64,108","CHARTER - Kansas City Neighborhood Academy - aka Phillips Elementary",,"59,113","noSubmittal","39.0834442","-94.5635153","The School District of KCMO","Closed","2,023","0","0","0","0","0.00","0","0","0"
"08-IS-02495","2401 Holmes St","Kansas City","Missouri","64,108",,,"265,428","noSubmittal","39.083266","-94.575329","The Curators Of The University Of MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"08-IS-02510","650 E 25th St","Kansas City","Missouri","64,108",,,"185,158","noSubmittal","39.0820711","-94.577516","The Curators Of The University Of MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"11-MF-00710","701 Westport Rd","Kansas City","Missouri","64,111","City Place at Westport (ct094)","Multifamily Housing","273,093","submitted","39.0513058","-94.5945693","Lincoln Property CO- CP Westport Holdings LLC","By Ordinance","2,023","59","40","0","1,424.2","112.10","Not Available","Not Available","8,319.9"
"08-IS-02615","2606 Holmes St","Kansas City","Missouri","64,108",,,"74,689","noSubmittal","39.078576","-94.576728","Jackson County MO","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"11-MF-02110","214 E Armour Blvd","Kansas City","Missouri","64,111","Bellerive","Multifamily Housing","141,772","submitted","39.0639576","-94.5827161","Commonealth Holding I LLC","By Ordinance","2,023","Not Available","59.8","212.6","596.3","119.40","Not Available","Not Available","4,680.6"
"08-IS-02910","2933 Baltimore Ave","Kansas City","Missouri","64,108",,,"30,000","noSubmittal","39.0731628","-94.5861831","Park Reserve LLC, Hunter Residential","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"11-MF-03010","301 W Armour Blvd","Kansas City","Missouri","64,111","Westport Central","Multifamily Housing","134,774","submitted","39.0636073","-94.5895697","Commonealth Holding I LLC","By Ordinance","2,023","57","84.8","457.4","394.4","128.30","Not Available","Not Available","5,855"
"11-MF-03510","300 W Armour Blvd","Kansas City","Missouri","64,111","The Historic Ellison","Multifamily Housing","61,585","submitted","39.0642604","-94.5894891","Historic Ellison, LP","By Ordinance","2,023","45","48.4","0","393.9","135.60","1909","Not Available","1,909"
"09-CM-02920","2923 Troost Ave","Kansas City","Missouri","64,109",,,"81,026","noSubmittal","39.0732571","-94.5710485","The School District of KCMO","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"11-MF-03520","350 E Armour Blvd","Kansas City","Missouri","64,111","Clyde Manor","Multifamily Housing","92,482","submitted","39.064005","-94.5815067","Mac Property Management","By Ordinance","2,023","27","56.3","0","664.5","157.50","Not Available","Not Available","3,249.5"
"11-MF-03530","3535 Broadway Blvd","Kansas City","Missouri","64,111","Congress Lofts","Multifamily Housing","115,718","submitted","39.0627401","-94.5899326","Congress Lofts LLC","By Ordinance","2,023","100","3.9","0","58.4","10.80","731.2","Not Available","731.2"
"11-MF-03540","3560 Broadway St","Kansas City","Missouri","64,111","Ambassador","Multifamily Housing","115,013","submitted","39.062513","-94.590777","Mac Property Management","By Ordinance","2,023","24","58.8","78.8","750.9","143.20","Not Available","Not Available","2,918.9"
"11-MF-03570","300 E Armour Blvd","Kansas City","Missouri","64,111","Park Central","Multifamily Housing","63,736","submitted","39.0640736","-94.5818292","Mac Property Management","By Ordinance","2,023","63","47.1","0","392","131.80","Not Available","Not Available","2,843.3"
"11-MF-03610","3660 Summit St","Kansas City","Missouri","64,111","The Summit Nursing Home","Multifamily Housing","57,640","submitted","39.0599187","-94.5955774","Summit Nursing Home Inc","By Ordinance","2,023","81","55.2","79.8","221.6","110.10","Not Available","Not Available","3,332.7"
"11-MF-03620","20 W 36th St","Kansas City","Missouri","64,111","Alps","Multifamily Housing","52,992","submitted","39.0622623","-94.5865863","Hedgepath Del R","By Ordinance","2,023","100","10.7","25","12.5","14.50","951","Not Available","951"
"11-MF-03710","3724 Broadway St","Kansas City","Missouri","64,111","Valentine (vl92)","Multifamily Housing","57,420","submitted","39.060293","-94.5908751","Valentine Condo Association Inc","By Ordinance","2,023","11","58.4","0","362.1","163.50","Not Available","Not Available","2,487"
"11-MF-03810","3895 State Line Rd","Kansas City","Missouri","64,111","West 39th Street 01100","Multifamily Housing","56,658","submitted","39.0576124","-94.6070822","Price 39 State Line LLC","By Ordinance","2,023","100","38.5","0","285.8","107.70","Not Available","Not Available","1,536.3"
"11-MF-03910","1111 W 39th St","Kansas City","Missouri","64,111","Loretto","Multifamily Housing","110,000","submitted","39.0563647","-94.6002146","CP Loretto Holdings","By Ordinance","2,023","14","44.9","107.9","380.7","94.60","Not Available","Not Available","2,306"
"11-MF-04111","4111 Broadway Blvd","Kansas City","Missouri","64,111","Westley on Broadway (ws291)","Multifamily Housing","182,000","submitted","39.0531196","-94.5901711","Lincoln Properties","By Ordinance","2,023","53","56.6","102","1,106.3","140.10","Not Available","Not Available","5,802.9"
"11-MF-04310","4301 Madison Ave","Kansas City","Missouri","64,111","Bishop Spencer Place - Madison","Senior Living Community","112,147","submitted","39.0486614","-94.5956984","Bishop Spencer Place","By Ordinance","2,023","99","80.2","177.5","745.8","172.70","Not Available","Not Available","7,485.6"
"11-MF-04311","720 W 44th St","Kansas City","Missouri","64,111","Bishop Spencer Place - 44th","Senior Living Community","135,521","submitted","39.0481929","-94.5952145","Bishop Spencer Place","By Ordinance","2,023","99","53.9","164.2","547.5","111.20","3255.5","Not Available","3,255.5"
"11-MF-04610","4551 Pennsylvania Ave","Kansas City","Missouri","64,112","46 Penn 01460","Multifamily Housing","155,436","submitted","39.0449665","-94.5930573","46 PENNSYLVANIA LLC","By Ordinance","2,023","81","38.9","0","788.6","109.10","Not Available","Not Available","1,164.3"
"12-CM-04635","4601 Broadway St","Kansas City","Missouri","64,112","Kansas City CC Plaza MO RI","Hotel","88,935","submitted","39.0435667","-94.5909405","Apple Eight SPE Kansas City Inc","By Ordinance","2,023","90","60.9","113.7","435.7","128.80","Not Available","Not Available","1,834.5"
"12-CM-04650","4600 Mill Creek Pkwy","Kansas City","Missouri","64,112","Courtyard Kansas City Country Club Plaza","Hotel","80,738","submitted","39.0438084","-94.5889246","Summit Hospitality 138 LLC, Summit Hotel Properties","By Ordinance","2,023","1","67861.7","144.7","662,815.9","189951.60","Not Available","Not Available","3,023.8"
"12-CM-04670","4600 Summit St","Kansas City","Missouri","64,112","Hampton Inn & Suites Kansas City Country Club Plaza","Hotel","136,044","submitted","39.0431432","-94.5965451","S & G L C","By Ordinance","2,023","93","Not Available","201.3","579.4","Not Available","5050.7","Not Available","5,050.7"
"12-CM-04680","4640 Wornall Rd","Kansas City","Missouri","64,112","Balcony","Other - Mall","176,152","submitted","39.0426826","-94.5902077","Highwoods Realty Limited Ptp","By Ordinance","2,023","Not Available","41.6","136.8","616.8","91.00","Not Available","Not Available","3,044"
"12-CM-04685","4646 Broadway Blvd","Kansas City","Missouri","64,112","4646 Broadway Condominiums","Multifamily Housing","58,746","submitted","39.0437463","-94.5917215","4646 Broadway LLC","By Ordinance","2,023","Not Available","51.9","2","406.6","144.10","Not Available","Not Available","369.2"
"09-MF-03560","811 E Armour Blvd","Kansas City","Missouri","64,109","Ricardo","Multifamily Housing","48,417","submitted","39.0630707","-94.5742511","Commonwealth Holdings I LLC","Voluntarily","2,023","87","32.5","0","205.2","90.90","Not Available","Not Available","1,037.5"
"12-CM-04710","102 W 47th St","Kansas City","Missouri","64,112","Millcreek","Other - Mall","54,321","submitted","39.0424529","-94.5885295","Highwoods Realty Limited Ptp","By Ordinance","2,023","Not Available","136.5","151.9","590.2","290.10","Not Available","Not Available","2,972.1"
"09-OU-03110","3100 Gillham Plaza","Kansas City","Missouri","64,109",,,"50,100","noSubmittal","39.070613","-94.5792292","Project G LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"12-CM-04715","201 W 47th St","Kansas City","Missouri","64,112","Theater","Other - Mall","101,650","submitted","39.042078","-94.589463","Highwoods Realty Limited Ptp","By Ordinance","2,023","Not Available","24.8","9","307.5","66.40","Not Available","Not Available","2,342"
