"Benchmarking ID","Building Address","Building City","Building State","Building Zip","Building Name","Primary Type","Gross Floor Area","Submission Status #7","X Coordinate","Y Coordinate","Owner Company","Compliance Required","Submission Year","Energy Star Score","Weather Normalized Site EUI (kBtu/ft^2)","Direct GHG Emissions (Metric Tons CO2e)","Indirect GHG Emissions (Metric Tons CO2e)","Weather Normalized Source EUI (kBtu/ft^2)","Indoor Water Use (All Water Sources) (kgal)","Outdoor Water Use (All Water Sources) (kgal)","Water Use (All Water Sources) (kgal)"
"05-MF-00830","412 W 8th St","Kansas City","Missouri","64,105","Soho Center","Multifamily Housing","65,340","submitted","39.1049228","-94.5891463","Embassy Properties, Inc.","By Ordinance","2,023","67","40.6","0","349.8","113.80","Not Available","Not Available","2,865.5"
"05-CM-01007","1007 Main St","Kansas City","Missouri","64,105",,,"167,200","noSubmittal","39.1018274","-94.5829554","CB Building Corp","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"05-MF-00915","915 Broadway Blvd","Kansas City","Missouri","64,105","915 Broadway Lofts","Multifamily Housing","61,374","submitted","39.1031702","-94.588113","Yarco Company Inc.","By Ordinance","2,023","28","42.6","0","344.5","119.20","799.6","Not Available","799.6"
"05-MF-01010","604 W 10th St","Kansas City","Missouri","64,105","604 West 10th Street","Multifamily Housing","61,920","submitted","39.1027586","-94.5914243","Pennbrooke Apts","By Ordinance","2,023","99","39.1","104.9","70.2","56.20","1163.1","Not Available","1,163.1"
"05-MF-01015","15 W 10th St","Kansas City","Missouri","64,105","Hanover Lofts","Multifamily Housing","71,400","submitted","39.1019332","-94.583341","Old Town Management","By Ordinance","2,023","28","45","0","426.9","125.90","1967.6","Not Available","1,967.6"
"50-MF-04410","4424 NW Hon Dr","Kansas City","Missouri","64,150","Rivermont Apartments",,,"noSubmittal","39.1750686","-94.620825",,"Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"01-CM-00810","1009 W 8th St","Kansas City","Missouri","64,101",,,"42,000","noSubmittal","39.1055353","-94.5951338","Sewall Paint LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"05-MF-01020","1003 Broadway Blvd","Kansas City","Missouri","64,105","Quality Hill Apartments (ql010)","Multifamily Housing","56,607","submitted","39.102123","-94.5880979","QUALITY HILL KC LLC","By Ordinance","2,023","52","49.1","0","1,876.1","137.60","Not Available","Not Available","16,022.1"
"01-CM-01220","1412 W 12th St","Kansas City","Missouri","64,101",,,"53,478","noSubmittal","39.1010383","-94.602211","Burlap Bag LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"05-MF-01025","21 W 10th St","Kansas City","Missouri","64,105","21TEN Condominiums","Multifamily Housing","85,000","submitted","39.1019945","-94.5840061","21W10 LLC","By Ordinance","2,023","59","41.7","0","464.6","116.70","Not Available","Not Available","919.5"
"05-OU-00710","701 Broadway Blvd","Kansas City","Missouri","64,105","Roaster's Block - Boss Building: Boss Building","Multifamily Housing","78,900","submitted","39.105499","-94.5877957","Roasters Block LLC","By Ordinance","2,023","65","36.5","0","377","102.20","Not Available","Not Available","1,799.1"
