bbl,utility_savings_annual,utility_savings_2026,ll97_avoidance_2026,utility_savings_2027,ll97_avoidance_2027,utility_savings_2028,ll97_avoidance_2028,utility_savings_2029,ll97_avoidance_2029,utility_savings_2030,ll97_avoidance_2030,utility_savings_2031,ll97_avoidance_2031,utility_savings_2032,ll97_avoidance_2032,utility_savings_2033,ll97_avoidance_2033,utility_savings_2034,ll97_avoidance_2034,utility_savings_2035,ll97_avoidance_2035,total_1yr,total_5yr,total_10yr,square_footage,carbon_limit_2024_tCO2e,carbon_limit_2030_tCO2e,total_carbon_emissions_2024_tCO2e,total_carbon_emissions_2030_tCO2e,total_elec_kBtu,total_gas_kBtu,total_steam_kBtu,elec_emissions_tCO2e,gas_emissions_tCO2e,steam_emissions_tCO2e,compliance_2024_status,compliance_2030_status,delta_2024_tCO2e,delta_2030_tCO2e,baseline_penalty_2024,baseline_penalty_2030,penalty_after_odcv_2024,penalty_after_odcv_2030
1008150039,26706.52,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,0.00,26706.52,133532.62,267065.25,129808,983.9446,349.2941,355.8955,190.0360,3930986.20,432699.00,0.00,332.9,23.0,0.0,Compliant,Compliant,-628.0491,-159.2581,0.00,0.00,0.00,0.00
1008180041,24466.61,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,0.00,24466.61,122333.04,244666.08,148940,1128.9652,400.7755,313.8107,189.6675,2942281.30,1216891.80,0.00,249.2,64.6,0.0,Compliant,Compliant,-815.1545,-211.1080,0.00,0.00,0.00,0.00
1008180051,96246.94,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,0.00,96246.94,481234.68,962469.35,351552,2664.7642,945.9744,1129.1514,566.7327,13329714.80,4875.00,0.00,1128.9,0.3,0.0,Compliant,Compliant,-1535.6128,-379.2417,0.00,0.00,0.00,0.00
1008180066,22094.36,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,0.00,22094.36,110471.82,220943.63,106770,809.3166,287.3023,175.5890,88.1210,2073052.00,421.00,0.00,175.6,0.0,0.0,Compliant,Compliant,-633.7276,-199.1813,0.00,0.00,0.00,0.00
1008190039,48930.68,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,0.00,48930.68,244653.39,489306.78,244069,1850.0430,656.7536,474.0353,264.0021,4977934.70,987656.90,0.00,421.6,52.5,0.0,Compliant,Compliant,-1376.0077,-392.7515,0.00,0.00,0.00,0.00
1008190056,40105.86,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,0.00,40105.86,200529.30,401058.61,180000,1364.4000,484.3534,409.5395,290.4773,2821857.90,3211384.20,0.00,239.0,170.6,0.0,Compliant,Compliant,-954.8605,-193.8761,0.00,0.00,0.00,0.00
1008200026,23731.15,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,0.00,23731.15,118655.75,237311.49,191400,1450.8120,515.0291,290.3314,145.6907,3428084.60,135.00,0.00,290.3,0.0,0.0,Compliant,Compliant,-1160.4806,-369.3384,0.00,0.00,0.00,0.00
1008210038,14456.74,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,0.00,14456.74,72283.68,144567.36,91000,689.7800,244.8675,182.0633,92.0025,2134503.40,24333.30,0.00,180.8,1.3,0.0,Compliant,Compliant,-507.7167,-152.8651,0.00,0.00,0.00,0.00
1008220009,32976.75,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,0.00,32976.75,164883.77,329767.53,105942,803.0404,285.0742,263.7675,144.3539,2830185.10,453386.00,0.00,239.7,24.1,0.0,Compliant,Compliant,-539.2729,-140.7203,0.00,0.00,0.00,0.00
1008220015,17724.62,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,0.00,17724.62,88623.12,177246.23,100800,764.0640,271.2379,191.2867,96.0046,2258254.30,666.00,0.00,191.3,0.0,0.0,Compliant,Compliant,-572.7773,-175.2333,0.00,0.00,0.00,0.00
