bbl,address,percentage,savings,hvac_cost
1006730001,261 11 Ave,39.99999961129323,130282.62,325706.5531651086
1010980029,601 West 50 St,39.99998610248026,2713.42,6783.552356863821
1010320048,330 West 42 St,38.87999971479268,88151.84,226727.98520227574
1007120029,47 9 Ave,38.209997433483764,23039.24,60296.36625887472
1005980042,555 Greenwich St,38.161002335263575,33246.76,87122.3447117833
1007940017,135 West 18 St,38.0500038232095,29539.63,77633.7109905403
1013060033,850 3 Ave,37.435000005030176,535810.19,1431308.1071938095
1001960005,408 Broadway,37.28998105192226,9774.67,26212.59041775814
1013230047,805 3 Ave,36.67999991250376,303263.35,826781.2178936817
1008740001,225 Park Ave South,36.58700140456418,127134.23,347484.6943432215
1008020056,122 West 27 St,36.3199946649283,21321.48,58704.52404165322
1008550024,354 Park Ave South,36.21600025434805,305915.71,844697.669128363
1010100015,123 West 57 St,35.83500146236095,42442.33,118438.19804103821
1013340001,768 2 Ave,35.195999136542504,168957.75,480048.17065863137
1010130042,221 West 41 St,35.18820934002293,224576.54,638215.3119242914
1005110001,568 Broadway,35.11000131614202,115712.94,329572.5880443085
1013940005,111 East 59 St,35.082001724721,96178.76,274154.1396488398
1008050003,345 7 Ave,35.06999669744516,32588.55,92924.30301932152
1019670045,461 West 126 St,35.036668617530545,25223.96,71993.03185856897
1008040001,319 7 Ave,34.890000383305,112872.78,323510.4005731398
1005970001,515 Greenwich St,34.826665652268645,15260.91,43819.61268521808
1008340080,1270 Broadway,34.740999546945076,162998.49,469181.92373752
1007860023,229 West 36 St,34.629997199387645,29248.09,84458.82866117352
1010260032,848 7 Ave,34.44998982351325,10034.11,29126.59786375725
1006450029,416 West 13 St,34.40000112685248,74998.17,218017.9289048243
1000430001,44 Wall St,34.340000491686354,131453.04,382798.59673218266
1007790013,241 West 29 St,34.21999042574173,15308.5,44735.54729134084
1000460009,14 Wall St,34.06999983887117,783411.34,2299416.917243979
1008870095,471 Park Ave South,33.94000098232844,123062.68,362588.9111319564
1000880001,217 Broadway,33.8799986090091,59335.37,175133.92100382794
1007660061,230 West 17 St,33.73000831767543,12862.73,38134.38134629686
1000920024,116 Nassau St,33.71667245537321,24732.78,73354.74766300226
1007780020,239 West 28 St,33.70999861575715,53290.76,158085.91571727378
1005780047,250 Hudson St,33.41999911275664,125315.65,374972.0326957344
1008190056,18 West 18 St,33.40999923641051,40105.86,120041.4873290158
1012690041,680 5 Ave,33.3410006783089,164238.26,492601.4716374445
1005230048,18 West Houston St,33.333334673901014,74834.37,224503.10097115196
1007080037,481 10 Ave,33.266993924601515,26585.43,79915.33608433319
1008020008,151 West 26 St,33.259999526313486,53778.21,161690.3510700703
1010080037,106 West 56 St,33.20000539232365,19254.96,57996.85805006538
1008320017,1241 Broadway,33.18000036972994,49696.16,149777.45462998166
1008690066,10 East 40 St,33.180000125748,278273.8,838679.3217160263
1008550016,53 East 25 St,33.10000005862865,56556.57,170865.7700901018
1000880018,225 Broadway,33.08999964228278,135350.74,409038.2032734968
1008560058,60 Madison Ave,33.05999915747396,84785.52,256459.53466648023
1008400058,16 West 39 St,33.04332283094259,15444.79,46741.0317025899
1000750030,111 John St,33.00000037271279,111361.07,337457.78406742937
1012810069,553 5 Ave,32.990001285980604,57891.15,175480.89646362446
1015310040,209 East 85 Street,32.93333385867724,43137.58,130984.55256643918
1007860064,226 West 37 St,32.90099956493261,28871.79,87753.53448766605
1008650014,200 Madison Ave,32.88000003377955,285980.36,869769.9504446337
1013130005,111 East 58 St,32.87999936197169,246192.03,748759.2298579557
1012900003,693 5 Ave,32.869998913266414,68399.97,208092.40116035903
1013750049,667 Madison Ave,32.787999205871785,188605.31,575226.6517263546
1012840007,7 East 48 St,32.779999746735285,309404.7,943882.5576281924
1006090007,154 West 14 St,32.74999735208971,27461.02,83850.44952758682
1008400031,15 West 38 St,32.74000871747578,11824.52,36116.42288197795
1007890052,218 West 40 St,32.70999868021755,66281.87,202634.89047489973
1013000001,230 Park Ave,32.67803411138828,809884.51,2478375.8632461787
1008280035,218 5 Ave,32.67699641187166,42784.57,130931.77065826106
1008470001,109 5 Ave,32.662999385728085,92825.5,284191.5982785083
1007870067,246 West 38 St,32.596998558800976,15463.15,47437.342956917884
1010277503,1731 Broadway,32.58333288493196,215981.7,662859.4464622122
1008290011,45 West 27 St,32.56000325854152,29567.97,90810.70958505935
1010350017,315 West 44 Street,32.53000059251469,73018.27,224464.39800189203
1012810059,18 East 46 St,32.46000313094907,40777.14,125622.72355766021
1012700049,20 West 55 St,32.46000217568179,74194.36,228571.64210415407
1005970062,323 Hudson St,32.46000003970993,82467.96,254060.25846923242
1007080031,469 10 Ave,32.45500023422724,108995.82,335836.7561650865
1013210001,757 3 Ave,32.439999381395644,218777.53,674406.7021328891
1007590045,519 8 Ave,32.43000040479988,118338.25,364903.6340514047
