final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,total_1yr,utility_savings_annual,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap,total_10_year_savings,savings_per_sqft,odcv_rank
1015.0,1008220058,"30 W 21 St,  New York,  NY 10010",30.751563896336016,28.751563896336016,2,1.7515638963360143,19.0,5,3,0,2,7439.29,7439.29,yes,1.0,Skyway Development,B,B,,75.0,,54001.98328617755,0.12236076844633047,1071.0
1016.0,1007840068,248 W 35th St,30.717605004468275,28.717605004468275,2,3.7176050044682754,19.0,4,2,0,2,12746.21,12746.21,yes,1.0,Albert A Srour,C,A,,98.0,,92525.04195724445,0.09515789709439483,1014.0
1017.0,1007850025,223-225 W 35th St,30.541554959785522,30.541554959785522,0,6.541554959785523,13.0,8,3,0,0,20175.8,20175.8,yes,2.0,Condren Realty Mgmt,C,,,,,146575.6823597384,0.18889429828667728,933.0
1018.0,1008410075,50 West 40th Street,30.309204647006254,29.309204647006254,1,26.309204647006254,0.0,3,0,0,1,87053.37,87053.37,no,1.0,Allied Partners,B,,,54.0,,876274.0737953656,0.9566304395604395,455.0
1019.0,1008410027,"8 W 40 St,  New York,  NY 10018",30.152815013404826,30.152815013404826,0,11.152815013404826,6.0,8,5,0,0,28077.39,28077.39,no,1.0,Northern Star,C,C,,64.0,,232236.98528737822,0.3551582422586521,839.0
1020.0,1008250017,43 W 23rd St,29.96916890080429,28.96916890080429,1,5.46916890080429,16.5,4,3,0,1,17469.24,17469.24,yes,1.0,Castro Properties,B,D,,32.0,,126809.6292122265,0.1892966354228748,964.0
1021.0,1005300001,"670 Broadway,  New York,  NY 10012",29.827524575513852,28.827524575513852,1,6.827524575513852,8.0,9,5,0,1,15972.11,15972.11,no,2.0,Wings Group,B,D,,5.0,,151473.8865194046,0.23872819669680892,978.0
1022.0,1007880078,260 W 39th St,29.683646112600535,27.683646112600535,2,5.683646112600536,17.0,5,0,0,2,18084.92,18084.92,yes,1.0,260 West 39th Street Co,C,A,,93.0,-3.0,131278.86499543075,0.11704237748841542,959.0
1023.0,1007610053,330 W 38th St,29.679177837354782,27.679177837354782,2,0.6791778373547811,23.0,4,0,0,2,4774.13,4774.13,yes,1.0,EJMB Commercial ,C,A,,97.0,,34655.52337199368,0.026513517416029857,1101.0
1024.0,1008370023,"29 W 35 St,  New York,  NY 10001",29.65236818588025,27.65236818588025,2,10.65236818588025,6.0,8,3,0,2,29719.82,29719.82,no,1.0,LNR Partners,B,B,,83.0,,219200.03266020693,0.3854110903620708,815.0
1025.0,1008050019,"700 Ave Of The Americas,  New York,  NY 10001",29.64343163538874,26.64343163538874,3,0.6434316353887399,4.0,20,2,0,3,4681.88,4681.88,no,24.0,Kaufman,B,A,,95.0,-5.0,33985.87842494229,0.06607039033614631,1102.0
1026.0,1008360033,"1 W 34 St,  New York,  NY 10001",29.394101876675602,27.394101876675602,2,1.3941018766756033,13.0,11,2,0,2,6701.19,6701.19,yes,2.0,BLDG Mgmt Co.,B,B,,71.0,,48644.09780738486,0.10661686792993173,1081.0
1027.0,1008217501,40 West 20th Street,29.29490616621984,28.29490616621984,1,10.294906166219839,0.0,18,0,0,1,28853.34,28853.34,no,21.0,City of New York,B,,,93.0,,212679.60941900988,0.3027124512149062,828.0
1028.0,1008280056,12 W 27th St,29.290437890974083,27.290437890974083,2,5.290437890974084,6.0,13,3,0,2,17131.58,17131.58,no,7.0,Himmel + Meringoff,B,B,,83.0,4.0,124358.54723042304,0.1882591208791209,969.0
1029.0,1007840051,"212 W 35 St,  New York,  NY 10001",29.289544235924932,27.289544235924932,2,4.289544235924933,0.0,20,3,0,2,13872.76,13872.76,no,24.0,Kaufman,C,A,,96.0,,101925.38139416564,0.16365562476406192,1000.0
1030.0,1005770039,80 Fifth Ave,29.26005361930295,28.26005361930295,1,11.26005361930295,13.0,4,0,0,1,32336.36,32336.36,yes,1.0,Passaic County,B,C,,69.0,,234730.4073716471,0.25510713496796994,788.0
1031.0,1008120063,134-142 W 37th St,29.0420017873101,27.0420017873101,2,7.042001787310098,13.0,4,3,0,2,21526.09,21526.09,yes,1.0,Thomas F. Campenni,C,A,,95.0,,156258.3999812823,0.17938408333333333,921.0
1032.0,1012930001,1 E 57th St,28.725647899910633,27.725647899910633,1,12.725647899910635,4.0,6,5,0,1,28080.5,28080.5,no,2.0,LVMH,B,D,,51.0,-25.0,260835.54763909054,0.3083735998242917,838.0
1033.0,1007630018,333 W 39th St,28.72028596961573,25.72028596961573,3,6.720285969615729,8.0,8,3,0,3,20712.05,20712.05,no,1.0,Hudson Point,B,A,,88.0,,150349.2642338817,0.22113846745176755,928.0
1034.0,1008060009,"145 W 30 St,  New York,  NY 10001",28.646112600536192,27.646112600536192,1,3.6461126005361932,4.0,15,5,0,1,12416.85,12416.85,no,9.0,Feil Organization,B,N (exempt),,92.0,,92211.21523616677,0.12593409602628858,1021.0
1035.0,1012847501,609 5th Avenue,28.22698838248436,27.22698838248436,1,14.226988382484361,13.0,0,0,0,1,42115.49,42115.49,yes,,,B,,,80.0,,308548.7987653523,0.3398301474207422,719.0
1036.0,1008390034,5 W 37th St,28.19034852546917,27.19034852546917,1,13.190348525469169,6.0,6,2,0,1,34816.48,34816.48,no,1.0,345 Park South,B,D,,41.0,,281077.04626094626,0.42009314896595,763.0
1037.0,1005220012,636 Broadway,28.15013404825737,25.15013404825737,3,8.150134048257373,13.0,4,0,0,3,24020.71,24020.71,yes,1.0,Trager,B,A,,94.0,,174366.90597383864,0.1823300668726232,886.0
1038.0,1007850007,261 W 35th St,28.076854334226987,25.076854334226987,3,6.076854334226988,13.0,4,2,0,3,19247.34,19247.34,yes,1.0,H. Justin Realty,B,A,,92.0,,139716.89945994533,0.16829305400111919,944.0
1039.0,1001490033,277 Broadway,27.977658623771227,24.977658623771227,3,14.977658623771225,4.0,4,2,0,3,37843.74,37843.74,no,1.0,Feldman Realty Group,B,A,,86.0,,325770.5895168433,0.40424867809645887,745.0
1040.0,1007880004,"580 8 Ave,  New York,  NY 10018",27.537086684539766,27.537086684539766,0,1.5370866845397677,13.0,11,2,0,0,7052.97,7052.97,yes,2.0,Miriam Ungar,C,N (exempt),,85.0,,51197.677205474145,0.0938956267057179,1077.0
1041.0,1008340039,320 5th Ave,27.36461126005362,24.36461126005362,3,8.36461126005362,6.0,8,2,0,3,24099.41,24099.41,no,4.0,Brause Realty,B,A,,92.0,,177586.68077491564,0.24118222213326396,885.0
1042.0,1008330018,38-40 W 32nd St,27.255585344057195,26.255585344057195,1,6.255585344057194,13.0,7,0,0,1,19371.58,19371.58,yes,2.0,Montague-Lee,C,B,,70.0,,142001.47148991626,0.14582201680166212,942.0
1043.0,1005640007,"113 University Pl,  New York,  NY 10003",27.25201072386059,26.25201072386059,1,2.25201072386059,13.0,8,3,0,1,8956.87,8956.87,yes,1.0,Amalgamated Lithograph,B,,,7.0,,65018.13264928039,0.15512686399140962,1057.0
1044.0,1012840056,"424 Madison Ave,  New York,  NY 10017",27.188561215370868,26.188561215370868,1,11.188561215370866,2.0,11,2,0,1,30083.14,30083.14,no,2.0,BLDG Mgmt Co.,B,C,,55.0,,233567.70995122212,0.48336423670806755,810.0
1045.0,1008260019,27 W 24th St,27.157283288650582,24.157283288650582,3,16.157283288650582,0.0,8,0,1,2,42903.08,42903.08,no,2.0,MJ Orbach,B,B,,77.0,13.0,358070.9448429257,0.45605187350518206,712.0
1046.0,1008380008,"63 W 36 St,  New York,  NY 10018",27.143878462913314,25.143878462913314,2,1.1438784629133154,4.0,15,5,0,2,6139.56,6139.56,no,8.0,Sioni Group,B,B,,79.0,,44567.21226145026,0.1043699107522312,1088.0
1047.0,1008710070,"116 E 16 St,  New York,  NY 10003",27.038427167113493,26.038427167113493,1,3.038427167113494,0.0,20,3,0,1,10508.79,10508.79,no,10.0,Samco Properties,B,C,,65.0,,77465.63994094757,0.1553980036968577,1040.0
1048.0,1008220049,"12 W 21 St,  New York,  NY 10010",27.036639857015192,23.036639857015192,4,1.0366398570151922,6.0,13,3,3,1,6015.52,6015.52,no,7.0,Himmel + Meringoff,B,C,,68.0,22.0,43666.802947279495,0.10213106960950764,1091.0
1049.0,1012620056,36-42 W 47th St,26.9124218051832,25.9124218051832,1,21.9124218051832,0.0,4,0,0,1,71921.44,71921.44,no,1.0,Amna,B,D,,13.0,,569286.3816281931,0.7355058546811883,516.0
1050.0,1012630051,"22 W 48 St,  New York,  NY 10036",26.823949955317246,23.823949955317246,3,2.8239499553172474,6.0,15,0,0,3,10341.38,10341.38,no,8.0,Sioni Group,B,A,,99.0,,75775.1969005262,0.117182776203966,1041.0
