final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,total_1yr,utility_savings_annual,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap,total_10_year_savings,savings_per_sqft,odcv_rank
1.0,1000160125,225 Liberty St,103.35656836461126,97.35656836461126,6,39.35656836461126,28.0,20,10,2,4,1284794.88,1284794.88,yes,18.0,Brookfield,A,B,LEED Certified - Gold,78.0,16.0,10301921.842775453,0.5665067760177254,17.0
2.0,1000160120,200 Liberty St,102.42716711349419,97.42716711349419,5,38.42716711349419,30.0,20,9,0,5,808370.56,808370.56,yes,18.0,Brookfield,A,A,LEED Certified - Gold,91.0,7.0,6131062.655795883,0.5382398303990071,38.0
3.0,1009950005,"151 W 42nd St, New York, NY 10036",101.6058981233244,95.6058981233244,6,38.605898123324394,28.0,20,9,3,3,777757.04,777757.04,yes,12.0,Durst,A,D,LEED Certified - Gold,44.0,31.0,6373863.797679655,0.4854982562171617,41.0
4.0,1000160150,250 Vesey St,100.82037533512064,94.82037533512064,6,38.820375335120644,26.0,20,10,1,5,889681.79,889681.79,yes,18.0,Brookfield,A,A,LEED Certified - Gold,85.0,12.0,6943128.183013809,0.4268944651330396,34.0
5.0,1010160036,"1515 Broadway,  New York,  NY 10036",97.57015192135836,93.57015192135836,4,38.57015192135835,26.0,20,9,1,3,778226.81,778226.81,yes,29.0,SL Green,A,N (exempt),LEED Certified - Gold,58.0,11.0,6332747.038585662,0.3792389703105394,40.0
6.0,1012670001,"1290 Ave Of The Americas,  New York,  NY 10104",96.3923145665773,94.3923145665773,2,39.3923145665773,26.0,20,9,0,2,1313671.05,1313671.05,yes,36.0,Vornado,A,C,,60.0,-8.0,10656596.144504724,0.6840401435281879,15.0
7.0,1000940025,"100 Gold St,  New York,  NY 10038",96.10277033065236,93.10277033065236,3,35.10277033065237,28.0,20,10,0,3,340998.03,340998.03,yes,21.0,City of New York,A,B,,84.0,,2642834.2678912967,0.5199924211810454,135.0
8.0,1013010001,"245 Park Ave,  New York,  NY 10167",96.07059874888293,91.07059874888293,5,39.07059874888293,26.0,20,6,3,2,983830.6,983830.6,yes,29.0,SL Green,A,C,,58.0,24.0,7951066.908032633,0.617935526419094,27.0
9.0,1005540001,"770 Broadway,  New York,  NY 10001",95.38963360142985,91.38963360142985,4,36.38963360142985,28.0,20,7,0,4,412598.97,412598.97,yes,36.0,Vornado,A,B,LEED Certified - Gold,76.0,,3353561.2301470255,0.3785836111241098,109.0
10.0,1012770027,331 Madison Ave,94.5710455764075,93.5710455764075,1,39.571045576407506,28.0,16,10,0,1,1255603.13,1255603.13,yes,29.0,SL Green,B,,,45.0,,12293884.885761779,0.748213421447023,18.0
11.0,1005980058,345 Hudson St,94.35299374441465,89.35299374441465,5,35.352993744414654,28.0,20,6,3,2,361905.85,361905.85,yes,10.0,Trinity Church,B,,LEED Certified - Gold,77.0,23.0,2766361.005425357,0.4538135269104939,126.0
12.0,1010400029,"825 8 Ave,  New York,  NY 10019",93.92761394101876,90.92761394101876,3,38.92761394101877,26.0,20,6,0,3,955930.04,955930.04,yes,29.0,SL Green,A,B,,75.0,,7641614.591942013,0.6123787980994368,30.0
13.0,1008530002,1 Madison Ave,93.45933869526363,90.45933869526363,3,34.459338695263625,30.0,20,6,0,3,333612.34,333612.34,yes,29.0,SL Green,A,,LEED Certified - Gold,92.0,,2421699.921463283,0.27048318704323193,139.0
14.0,1013280001,"909 3 Ave,  New York,  NY 10022",92.7462019660411,88.7462019660411,4,35.746201966041106,26.0,20,7,0,4,406631.13,406631.13,yes,36.0,Vornado,A,A,,90.0,,2993791.6980833225,0.31805080132341557,110.0
15.0,1012940001,767 Fifth Ave,92.67828418230563,89.67828418230563,3,39.67828418230563,28.0,13,9,0,3,1651643.67,1651643.67,yes,7.0,Boston Properties (BXP),A,B,,75.0,,13431707.885683434,0.9050995002246797,8.0
16.0,1012890014,520 Madison Ave,92.67739052725648,88.67739052725648,4,38.67739052725648,28.0,18,4,0,4,816804.46,816804.46,yes,11.0,Tishman Speyer,A,B,LEED Certified - Silver,78.0,2.0,6433591.596005752,0.8045059771276496,36.0
17.0,1001210001,"1 Centre St,  New York,  NY 10013",92.03485254691688,90.03485254691688,2,39.03485254691689,24.0,20,7,0,2,960116.46,960116.46,yes,21.0,City of New York,A,N (exempt),,96.0,,7828646.968083557,0.9086848949460533,29.0
18.0,1013290001,"919 3 Ave,  New York,  NY 10022",92.03395889186774,90.03395889186774,2,38.03395889186774,28.0,20,4,0,2,639147.7,639147.7,yes,29.0,SL Green,A,N (exempt),,66.0,3.0,5186323.328782718,0.4474245084367982,56.0
19.0,1002260001,75 Varick St,91.88829311885613,87.88829311885613,4,34.88829311885612,28.0,20,5,0,4,350740.2,350740.2,yes,10.0,Trinity Church,B,A,LEED Certified - Silver,86.0,-17.0,2587768.968622594,0.3504787428578281,131.0
20.0,1012700071,"1775 Broadway,  New York,  NY 10019",91.20911528150134,86.20911528150134,5,34.20911528150134,28.0,20,4,1,4,293049.45,293049.45,yes,29.0,SL Green,A,B,LEED Certified - Gold,72.0,13.0,2383966.3328697556,0.5152880202563697,170.0
21.0,1005990064,"375 Hudson St,  New York,  NY 10014",90.9928507596068,85.9928507596068,5,31.992850759606792,26.0,20,8,0,5,238685.19,238685.19,yes,10.0,Trinity Church,A,A,LEED Certified - Gold,95.0,-20.0,1732621.478802159,0.22179257994134724,204.0
22.0,1012809010,200 Park Ave,90.92850759606792,85.92850759606792,5,39.92850759606792,28.0,8,10,2,3,2505759.6,2505759.6,yes,1.0,Irvine Office Properties,A,,LEED Certified - Silver,57.0,18.0,20461729.22181977,0.8139512810243127,3.0
23.0,1013070001,"375 Park Ave,  New York,  NY 10152",90.67649687220734,87.67649687220734,3,37.67649687220733,30.0,13,7,0,3,598526.78,598526.78,yes,8.0,RFR Realty,A,B,,74.0,,4854707.042823217,0.7255696770298676,65.0
24.0,1010220043,1633 Broadway,90.53529937444146,86.53529937444146,4,39.535299374441465,28.0,12,7,0,4,1504915.22,1504915.22,yes,9.0,Paramount Group,A,B,LEED Certified,73.0,2.0,12235192.675652107,0.6172595577055354,10.0
25.0,1002160001,388 Greenwich St,90.0,86.0,4,40.0,28.0,8,10,0,4,3649643.15,3649643.15,yes,1.0,Citigroup,A,B,LEED Certified - Platinum,82.0,,40495217.614778295,1.5502103395122688,1.0
26.0,1008690034,"90 Park Ave,  New York,  NY 10016",89.60500446827524,85.60500446827524,4,37.60500446827525,26.0,20,2,2,2,578897.7,578897.7,yes,36.0,Vornado,A,C,,67.0,16.0,4695840.29298359,0.6663079784625938,69.0
27.0,1009990029,"1185 Ave Of The Americas,  New York,  NY 10036",89.532618409294,86.532618409294,3,36.53261840929401,26.0,20,4,0,3,431107.61,431107.61,yes,29.0,SL Green,A,C,LEED Certified - Silver,67.0,-12.0,3501496.5470489846,0.4140058560963711,100.0
28.0,1009990019,"114 W 47 St,  New York,  NY 10036",89.52815013404826,86.52815013404826,3,31.528150134048257,28.0,20,7,0,3,221081.64,221081.64,yes,12.0,Durst,A,B,,76.0,-1.0,1627728.4708627032,0.3828028133408596,226.0
29.0,1008570024,"63 Madison Ave,  New York,  NY 10016",89.49687220732797,85.49687220732797,4,36.49687220732797,30.0,9,10,1,3,414928.64,414928.64,yes,4.0,George Comfort & Sons,A,C,LEED Certified - Silver,64.0,11.0,3391365.9625868076,0.527852694865209,108.0
30.0,1012760058,300-314 Madison Ave,89.42627345844504,86.42627345844504,3,37.42627345844504,24.0,15,10,2,1,570604.29,570604.29,yes,18.0,Brookfield,C,B,,79.0,16.0,4548095.52891317,0.49947111256222554,71.0
31.0,1009960029,"1133 Ave Of The Americas,  New York,  NY 10036",89.42359249329759,86.42359249329759,3,34.42359249329759,28.0,20,4,0,3,304807.91,304807.91,yes,12.0,Durst,A,B,,77.0,,2418061.2666149726,0.3119723551356911,163.0
32.0,1010070029,"1345 Ave Of The Americas,  New York,  NY 10019",89.32082216264521,86.32082216264521,3,39.32082216264522,30.0,11,6,0,3,1239834.61,1239834.61,yes,2.0,Blackstone,A,D,LEED Certified - Silver,53.0,-38.0,10048684.038347876,0.652461771954189,20.0
33.0,1007819002,PENN 2,89.28418230563003,86.28418230563003,3,38.284182305630026,19.0,20,9,0,3,693926.64,693926.64,yes,36.0,Vornado,A,,LEED Certified - Gold,,,5595613.530632161,0.6617522458087772,49.0
34.0,1010150029,1501 Broadway,89.03217158176943,81.03217158176943,8,36.03217158176944,28.0,15,2,3,5,392264.59,392264.59,yes,9.0,Paramount Group,A,D,LEED Platinum,46.0,29.0,3122003.9499569023,0.5147640112961729,117.0
35.0,1000660001,"19 Liberty St,  New York,  NY 10038",88.8561215370867,86.8561215370867,2,38.856121537086686,28.0,11,9,0,2,752601.01,752601.01,yes,2.0,Fosun International,A,N (exempt),,32.0,-18.0,7100594.40461775,1.175939078125,42.0
36.0,1008070001,"11 Penn Plaza,  New York,  NY 10001",88.71045576407506,85.71045576407506,3,35.710455764075064,26.0,20,4,0,3,404337.83,404337.83,yes,36.0,Vornado,A,B,,75.0,,2970282.7047460484,0.35698958708565537,114.0
37.0,1000160140,200 Vesey St,88.64075067024129,83.64075067024129,5,37.64075067024129,19.0,20,7,0,5,655602.58,655602.58,yes,18.0,Brookfield,A,A,LEED Certified - Gold,85.0,-5.0,4828475.197006985,0.293506257800986,54.0
38.0,1000160225,300 Vesey St,88.63806970509384,82.63806970509384,6,34.638069705093834,19.0,20,9,2,4,275435.49,275435.49,yes,18.0,Brookfield,A,B,LEED Certified - Gold,83.0,17.0,2466281.0940317647,0.5486762749003984,180.0
39.0,1007310001,"460 W 34 St,  New York,  NY 10001",88.63717605004467,85.63717605004467,3,33.63717605004468,28.0,20,4,0,3,285904.95,285904.95,yes,29.0,SL Green,A,B,,84.0,,2195866.630167734,0.5309086941989156,174.0
40.0,1012750027,"100 Park Ave,  New York,  NY 10017",88.60142984807865,84.60142984807865,4,33.601429848078645,24.0,20,7,1,3,294685.57,294685.57,yes,29.0,SL Green,A,B,,81.0,13.0,2166473.888310683,0.34203362702232787,169.0
41.0,1007130001,"75 9 Ave,  New York,  NY 10011",88.49865951742628,82.49865951742628,6,38.498659517426276,28.0,11,5,3,3,636591.94,636591.94,yes,3.0,Google,B,N (exempt),Energy Star; LEED Gold,30.0,45.0,6317930.083781633,0.5784396651440711,57.0
42.0,1012880007,"10 E 53 St,  New York,  NY 10022",88.3887399463807,83.3887399463807,5,35.388739946380696,26.0,20,2,3,2,318959.82,318959.82,yes,29.0,SL Green,A,D,,34.0,41.0,2780697.649863812,1.0059570884754518,150.0
43.0,1009950033,"1111 Ave Of The Americas,  New York,  NY 10036",88.24977658623772,86.24977658623772,2,39.749776586237715,20.5,20,6,0,2,1287826.4,1287826.4,yes,12.0,Durst,A,C,,59.0,,14249322.95230432,0.5820223937089721,16.0
44.0,1012760042,60 E 42nd St,88.21268990169794,86.21268990169794,2,38.21268990169794,28.0,18,2,0,2,717598.87,717598.87,yes,11.0,Empire State Realty,B,B,,79.0,6.0,5494000.868911919,0.6236931365834495,45.0
45.0,1013190047,"733 3 Ave,  New York,  NY 10017",87.99374441465594,85.99374441465594,2,32.99374441465594,28.0,20,5,0,2,239042.72,239042.72,yes,12.0,Durst,A,C,,66.0,,1954726.779654389,0.6115532723765471,203.0
46.0,1001550001,"2 Lafayette St, New York, NY 10007",87.77747989276139,85.77747989276139,2,30.777479892761395,28.0,20,7,0,2,200167.11,200167.11,yes,21.0,City of New York,B,B,,80.0,,1513915.1428414336,0.5651739988536546,250.0
47.0,1007830070,"1 Penn Plaza,  New York,  NY 10119",87.71403038427167,86.71403038427167,1,39.71403038427167,23.0,20,4,0,1,1538901.09,1538901.09,yes,36.0,Vornado,B,C,,65.0,,13978398.129660523,0.6585587933092288,9.0
48.0,1009970029,"1155 Ave Of The Americas,  New York,  NY 10036",87.70777479892762,84.70777479892762,3,32.707774798927616,28.0,20,4,0,3,256393.14,256393.14,yes,12.0,Durst,A,B,,75.0,0.0,1883798.7883036782,0.3732949254409337,193.0
49.0,1000090029,"1 Battery Park Plaza,  New York,  NY 10004",87.46201966041107,85.46201966041107,2,37.46201966041108,28.0,18,2,0,2,559070.55,559070.55,yes,12.0,Rudin,A,D,,52.0,,4550236.634656157,0.6692602315659432,76.0
50.0,1012680001,"51 W 52 St,  New York,  NY 10019",87.42537980339588,84.42537980339588,3,36.42537980339589,30.0,11,7,0,3,431180.29,431180.29,yes,2.0,Harbor Group International,A,B,,73.0,-23.0,3377140.6273415573,0.4830047697781123,99.0
51.0,1012850021,"437 Madison Ave,  New York,  NY 10022",87.28328865058089,85.28328865058089,2,37.28328865058088,28.0,18,2,0,2,540525.08,540525.08,yes,24.0,Kaufman,A,D,,49.0,1.0,4421856.719381221,0.6750707261450691,80.0
52.0,1013010023,"485 Lexington Ave,  New York,  NY 10017",87.28060768543342,84.28060768543342,3,34.280607685433424,26.0,20,4,0,3,325548.11,325548.11,yes,29.0,SL Green,A,B,,80.0,0.0,2396655.3820658987,0.40972278892514946,144.0
53.0,1007800036,"370 7 Ave,  New York,  NY 10001",87.23771224307417,83.23771224307417,4,26.237712243074174,30.0,20,7,0,4,108655.66,108655.66,yes,18.0,Brookfield,A,N (exempt),Energy Star; LEED Gold,60.0,,873804.1390616377,0.2609901013881116,392.0
54.0,1007570054,"330 W 34 St,  New York,  NY 10001",87.20375335120643,83.20375335120643,4,28.203753351206434,26.0,20,9,0,4,140625.04,140625.04,yes,36.0,Vornado,A,A,,86.0,,1041485.0615933363,0.22730842653312924,321.0
55.0,1010000029,1211 Avenue of the Americas,87.10634495084898,81.10634495084898,6,39.10634495084897,30.0,8,4,3,3,1010365.07,1010365.07,yes,3.0,La Caisse,A,C,LEED Certified - Gold,56.0,35.0,8070223.9779134495,0.5091980709878099,26.0
56.0,1013120041,"150 E 58 St,  New York,  NY 10155",87.06702412868633,81.06702412868633,6,35.06702412868633,26.0,20,0,3,3,322443.4,322443.4,yes,36.0,Vornado,A,C,LEED Certified - Gold,64.0,20.0,2636923.6671607643,0.6086869686032288,145.0
57.0,1001680032,"111 Centre St,  New York,  NY 10013",87.02859696157283,83.02859696157283,4,32.02859696157283,24.0,20,7,0,4,228277.8,228277.8,yes,21.0,City of New York,A,A,,87.0,,1733261.849421424,0.6466793201133144,215.0
58.0,1006720001,"601 W 26 St,  New York,  NY 10001",86.99821268990169,83.99821268990169,3,37.9982126899017,30.0,11,5,2,1,602085.74,602085.74,yes,2.0,Blackstone,B,,,68.0,18.0,5168277.658995913,0.3127698632528005,62.0
59.0,1013150001,"655 3 Ave,  New York,  NY 10017",86.52993744414655,83.52993744414655,3,33.52993744414656,30.0,20,0,0,3,263932.5,263932.5,yes,12.0,Durst,A,B,,77.0,-2.0,2132875.71430827,0.6865518479210888,188.0
60.0,1010010029,1221 Avenue of the Americas,86.42806076854333,79.42806076854333,7,39.42806076854334,28.0,7,5,3,4,1393833.34,1393833.34,yes,2.0,Invesco,A,B,LEED Certified - Gold,77.0,23.0,11277725.46491749,0.5287318326276411,12.0
61.0,1008550037,"41 Madison Ave,  New York,  NY 10010",86.35388739946382,84.35388739946382,2,36.35388739946381,28.0,20,0,0,2,405163.65,405163.65,yes,12.0,Rudin,A,D,,39.0,,3331885.448196004,0.7207368291849892,112.0
62.0,1005970012,"315 Hudson St,  New York,  NY 10013",86.1680071492404,81.1680071492404,5,28.168007149240392,28.0,18,7,0,5,140236.26,140236.26,yes,10.0,Jack Resnick & Sons,A,A,LEED Certified - Silver,93.0,-3.0,1035518.8718251212,0.32767624984812094,323.0
63.0,1012850036,300 Park Ave,86.13941018766755,81.13941018766755,5,36.13941018766756,22.0,18,5,1,4,405194.79,405194.79,yes,11.0,Tishman Speyer,A,B,LEED Certified - Silver,78.0,13.0,3259886.0001116926,0.6277389024962702,111.0
64.0,1013060001,"345 Park Ave,  New York,  NY 10154",86.10679177837355,84.10679177837355,2,39.60679177837355,18.5,20,6,0,2,1418992.65,1418992.65,yes,12.0,Rudin,A,D,,46.0,,12360361.175401319,0.7957420290797832,11.0
65.0,1010040020,"787 7 Ave,  New York,  NY 10019",85.96336014298481,82.96336014298481,3,38.96336014298481,30.0,8,6,0,3,949339.87,949339.87,yes,1.0,CommonWealth Partners,A,C,LEED Certified - Gold,63.0,-11.0,7669831.80791113,0.5240310386893426,31.0
66.0,1004770011,101 Avenue of the Americas,85.96067917783736,82.96067917783736,3,35.960679177837356,26.0,17,4,0,3,379721.81,379721.81,yes,10.0,Trinity Church,A,D,LEED Certified - Silver,39.0,,3106108.011234479,0.9443208716001303,119.0
67.0,1012840033,47 East 48th Street,85.7828418230563,79.7828418230563,6,36.7828418230563,21.0,20,2,3,3,423628.14,423628.14,yes,18.0,Brookfield,A,D,LEED Certified - Gold,43.0,32.0,3879005.6638339134,1.0970104566429981,103.0
68.0,1010060013,1325 Avenue of the Americas,85.67560321715817,80.67560321715817,5,36.67560321715818,28.0,12,4,0,5,492430.31,492430.31,yes,9.0,Paramount Group,A,A,LEED Certified - Gold,85.0,0.0,3623230.2377625178,0.6538389562589542,88.0
69.0,1013180001,"711 3 Ave,  New York,  NY 10017",85.59964253798034,81.59964253798034,4,31.59964253798034,26.0,20,4,0,4,224864.44,224864.44,yes,29.0,SL Green,B,A,LEED Certified - Gold,85.0,-10.0,1657798.986130728,0.45161845160150066,218.0
70.0,1012960001,"125 Park Ave,  New York,  NY 10168",85.49240393208221,81.49240393208221,4,31.492403932082215,26.0,20,4,1,3,198690.16,198690.16,yes,29.0,SL Green,A,C,LEED Certified - Gold,64.0,11.0,1624651.4344294397,0.36720421224604455,254.0
71.0,1008560024,51 Madison Ave,85.31992850759607,82.31992850759607,3,38.31992850759607,30.0,8,6,0,3,714391.78,714391.78,yes,1.0,New York Life,A,C,LEED Certified - Gold,69.0,6.0,5792243.810718855,0.6159638384369652,46.0
72.0,1010260055,242-250 W 55th St,85.28150134048258,83.28150134048258,2,35.28150134048257,28.0,10,10,0,2,361804.52,361804.52,yes,7.0,Boston Properties (BXP),C,B,LEED Certified - Gold,81.0,-2.0,2754860.0796577963,0.4288999056384578,127.0
73.0,1008080040,"100 W 33 St,  New York,  NY 10001",85.24039320822163,82.24039320822163,3,29.240393208221626,28.0,20,5,0,3,170821.43,170821.43,yes,36.0,Vornado,B,A,,92.0,,1239996.8287001783,0.15206226827433647,290.0
74.0,1009930029,"5 Bryant Par, kNew York, NY 10018",85.1367292225201,80.1367292225201,5,33.13672922252011,30.0,15,2,1,4,274509.85,274509.85,yes,7.0,Savanna Real Estate,A,B,LEED Certified - Gold,72.0,13.0,2021002.3098807351,0.4019684030492858,182.0
75.0,1000480001,"140 Broadway,  New York,  NY 10005",84.9946380697051,80.9946380697051,4,33.9946380697051,30.0,15,2,0,4,307181.58,307181.58,yes,8.0,Hines,A,B,LEED Certified - Gold,79.0,-10.0,2249973.0799606675,0.24147236225541793,161.0
76.0,1001190001,"1 Police Plaza,  New York,  NY 10038",84.85433422698839,83.85433422698839,1,36.854334226988385,17.0,20,10,0,1,492194.62,492194.62,yes,21.0,City of New York,B,D,,37.0,,3913994.018615214,0.4919397951860936,89.0
77.0,1010140033,3 Times Square,84.63762287756926,79.63762287756926,5,34.13762287756926,18.5,20,7,0,5,320701.75,320701.75,yes,12.0,Rudin,A,N (exempt),LEED Platinum,64.0,,2356451.8910652245,0.37508976608187133,147.0
78.0,1008430045,"79 5 Ave,  New York,  NY 10003",84.63270777479893,81.63270777479893,3,28.632707774798927,28.0,20,5,0,3,136618.16,136618.16,yes,36.0,Vornado,A,B,,70.0,,1141481.6507323815,0.5010200968167816,329.0
79.0,1013000001,"230 Park Ave,  New York,  NY 10017",84.53440571939231,78.53440571939231,6,38.53440571939232,28.0,8,4,0,6,809884.51,809884.51,yes,4.0,TF Cornerstone,A,B,LEED Platinum,77.0,-2.0,6322125.42422308,0.6678931070199803,37.0
80.0,1012820021,375-391 Madison Ave,84.28507596067918,80.28507596067918,4,39.28507596067918,28.0,6,7,2,2,1050382.71,1050382.71,yes,4.0,Chase,A,,,59.0,16.0,9777953.472157346,0.8939518616360337,25.0
81.0,1001270018,"255 Greenwich St,  New York,  NY 10007",84.27792672028596,82.27792672028596,2,31.27792672028597,24.0,18,9,0,2,216801.3,216801.3,yes,10.0,Jack Resnick & Sons,A,N (exempt),,45.0,,1590925.2562461442,0.42761597633136095,233.0
82.0,1010040029,"1285 Ave Of The Americas,  New York,  NY 10019",84.03351206434317,81.03351206434317,3,37.533512064343164,24.5,15,4,0,3,566879.06,566879.06,yes,9.0,RXR Realty,A,B,,75.0,5.0,4592373.172909407,0.33181791894657237,73.0
83.0,1008550024,360 Park Ave S,83.95889186773906,81.95889186773906,2,33.958891867739055,30.0,11,7,0,2,305915.71,305915.71,yes,7.0,Boston Properties (BXP),A,,,47.0,,2245607.370178062,0.6787161851852674,162.0
84.0,1006870029,85 10th Ave,83.60321715817695,81.60321715817695,2,35.603217158176946,21.0,17,8,0,2,309476.42,309476.42,yes,36.0,Vornado,A,,,,,2900229.5017992407,0.559154609447271,158.0
85.0,1005450015,"726 Broadway,  New York,  NY 10003",83.41912421805183,82.41912421805183,1,29.41912421805183,26.0,18,9,0,1,146356.66,146356.66,yes,10.0,New York University (NYU),B,N (exempt),,30.0,,1289025.455599422,0.4193468400709433,316.0
86.0,1012940046,"625 Madison Ave,  New York,  NY 10022",83.3503127792672,81.3503127792672,2,32.350312779267206,20.0,20,9,0,2,236203.88,236203.88,yes,29.0,SL Green,A,N (exempt),,68.0,7.0,1769751.8479390524,0.44851534744177657,207.0
87.0,1012780020,22 Vanderbilt Ave,83.28239499553172,79.28239499553172,4,36.282394995531725,30.0,4,9,0,4,428351.85,428351.85,yes,1.0,Milstein Properties,A,A,,87.0,,3313805.0069217156,0.4896882402165662,102.0
88.0,1005590016,"853 Broadway,  New York,  NY 10003",83.16621983914209,81.16621983914209,2,26.16621983914209,30.0,20,5,0,2,107464.57,107464.57,yes,21.0,City of New York,A,D,,36.0,,869651.8950996905,0.4660397413602439,396.0
89.0,1012950033,"Grand Central Plaza,  New York,  NY 10017",83.14119749776586,81.14119749776586,2,38.141197497765866,26.0,13,4,0,2,677170.35,677170.35,yes,8.0,Cohen Brothers,A,C,,63.0,,5411016.564936579,0.6223992187499999,50.0
90.0,1012880027,55 E 52nd St,83.10545129579982,79.10545129579982,4,38.105451295799824,28.0,8,5,0,4,718931.35,718931.35,yes,4.0,Fisher Brothers Mgmt,A,B,LEED Certified - Silver,83.0,,5283702.195699024,0.6755457737710987,44.0
91.0,1000240001,"60 Broad St,  New York,  NY 10004",83.10455764075067,80.10455764075067,3,37.10455764075067,28.0,8,7,0,3,555725.8,555725.8,yes,1.0,Piedmont Realty Trust,A,B,,74.0,,4213930.481795607,0.5182979501274467,77.0
92.0,1008250031,200 Fifth Ave,83.03306523681859,79.03306523681859,4,37.03306523681859,26.0,9,7,0,4,507119.92,507119.92,yes,4.0,Chase,A,B,LEED Certified - Gold,83.0,,4044953.3967851293,0.7193700546138023,84.0
93.0,1000290001,85 Broad St,82.9964253798034,75.9964253798034,7,35.9964253798034,28.0,6,6,0,7,423470.23,423470.23,yes,3.0,La Caisse,A,A,LEED Platinum,85.0,,3113840.4235749417,0.420289062089048,105.0
94.0,1007390001,"111 8 Ave,  New York,  NY 10011",82.89276139410188,80.89276139410188,2,39.892761394101875,28.0,8,5,0,2,2051742.73,2051742.73,yes,3.0,Google,A,N (exempt),,30.0,,18980018.62364874,0.9490048214749902,5.0
95.0,1013250001,"845 3 Ave,  New York,  NY 10022",82.88293118856122,76.88293118856122,6,28.882931188561216,24.0,20,4,0,6,162782.32,162782.32,yes,12.0,Rudin,A,B,LEED Platinum,70.0,,1200407.7910503848,0.4612860737684478,304.0
96.0,1012750069,475 Fifth Ave,82.85522788203752,80.85522788203752,2,37.85522788203753,28.0,15,0,0,2,522653.56,522653.56,yes,8.0,RFR Realty,B,D,LEED Certified - Silver,17.0,,5039812.360663162,2.010206,83.0
97.0,1007970037,675 Avenue of the Americas,82.8485254691689,79.8485254691689,3,30.3485254691689,22.5,20,7,0,3,185720.99,185720.99,yes,29.0,GFP Real Estate,A,B,,74.0,,1467596.0651923728,0.7836328691983122,273.0
98.0,1000130027,"25 Broadway,  New York,  NY 10004",82.71134941912422,80.71134941912422,2,36.71134941912422,26.0,11,7,0,2,472601.79,472601.79,yes,2.0,ACTA Realty,A,,,61.0,,3805237.986819326,0.5838907908440933,92.0
99.0,1008150001,"1411 Broadway,  New York,  NY 10018",82.6751563896336,78.6751563896336,4,36.1751563896336,24.5,11,7,0,4,430346.42,430346.42,yes,3.0,La Caisse,A,B,LEED Certified - Gold,80.0,-20.0,3268656.246799342,0.3955120883322274,101.0
100.0,1008680016,"260 Madison Ave,  New York,  NY 10016",82.5656836461126,76.5656836461126,6,33.5656836461126,28.0,11,4,0,6,286501.59,286501.59,yes,2.0,Sapir Organization,B,A,LEED Platinum,87.0,,2138131.2729844092,0.5039969285383818,171.0
101.0,1012870028,40 E 52nd St,82.45397676496873,80.45397676496873,2,28.453976764968722,28.0,20,4,0,2,148170.03,148170.03,yes,12.0,Rudin,A,,,78.0,,1087771.0396629227,0.41158341666666665,314.0
102.0,1007297504,391 9th Avenue,82.24754244861484,79.24754244861484,3,37.24754244861484,20.0,20,2,0,3,597167.91,597167.91,yes,18.0,Brookfield,A,,LEED Certified - Gold,15.0,,4374156.672936834,0.3021280683052548,66.0
103.0,1012690001,"1330 Ave Of The Americas,  New York,  NY 10019",82.24307417336908,78.24307417336908,4,32.24307417336908,26.0,15,5,1,3,214180.68,214180.68,yes,9.0,RXR Realty,A,B,,71.0,14.0,1758663.6853803352,0.45162549236258126,238.0
104.0,1008350041,350 Fifth Ave,82.14209115281501,78.14209115281501,4,39.14209115281501,19.0,18,2,0,4,1166597.64,1166597.64,yes,11.0,Empire State Realty,A,B,LEED Certified - Gold,79.0,6.0,8580631.063281106,0.41475502703948,22.0
105.0,1010240038,810 Seventh Ave,82.06791778373548,79.06791778373548,3,36.06791778373548,21.0,20,2,0,3,386442.29,386442.29,yes,29.0,SL Green,A,C,LEED Certified - Silver,66.0,9.0,3156066.186536112,0.5511981828425534,118.0
106.0,1012660001,1270 Avenue of the Americas,82.06166219839142,80.06166219839142,2,29.06166219839142,28.0,18,5,0,2,169103.08,169103.08,yes,11.0,Tishman Speyer,A,F,,38.0,,1227523.2851254817,0.061851034989272274,294.0
107.0,1000400003,"60 Wall St,  New York,  NY 10005",82.02323503127792,80.02323503127792,2,26.023235031277927,30.0,15,9,0,2,118290.26,118290.26,yes,9.0,Paramount Group,A,N (exempt),,72.0,8.0,858671.8145733795,0.07277237596455946,370.0
108.0,1013070023,599 Lexington Ave,81.96112600536193,77.96112600536193,4,36.46112600536193,24.5,13,4,0,4,451224.41,451224.41,yes,7.0,Boston Properties (BXP),A,B,LEED Certified - Gold,78.0,-3.0,3381484.6514156098,0.4583354850505594,94.0
109.0,1000390012,"110 Maiden Lane,  New York,  NY 10005",81.78373547810546,79.78373547810546,2,37.78373547810545,24.0,16,2,0,2,625638.35,625638.35,yes,12.0,Rudin,A,N (exempt),,18.0,,4973165.793258481,0.5960214482166657,59.0
110.0,1012970033,666 Third Ave,81.63851653261841,77.63851653261841,4,35.13851653261841,20.5,18,4,0,4,341874.25,341874.25,yes,11.0,Tishman Speyer,A,B,LEED Certified - Gold,76.0,4.0,2685402.2735210243,0.5130350582854124,134.0
